model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A356B,BOG,029888240424,SM-A356B/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A356BXXU2AXE1,U(Android 14),2024-06-13,2024-05-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029888240424/eng.html
SM-A356B,BOG,029888240424,SM-A356B/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A356BXXU1AXD3,U(Android 14),2024-05-15,2024-04-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029888240424/eng.html
SM-A356B,BOG,029888240424,SM-A356B/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A356BXXU1AXBB,U(Android 14),2024-04-24,2024-02-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029888240424/eng.html
SM-A356B,EVR,029892240424,SM-A356B/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A356BXXU2AXE1,U(Android 14),2024-06-13,2024-05-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029892240424/eng.html
SM-A356B,EVR,029892240424,SM-A356B/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A356BXXU1AXD3,U(Android 14),2024-05-15,2024-04-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029892240424/eng.html
SM-A356B,EVR,029892240424,SM-A356B/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A356BXXU1AXBB,U(Android 14),2024-04-24,2024-02-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029892240424/eng.html
SM-A356B,MEO,029893240424,SM-A356B/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A356BXXU2AXE1,U(Android 14),2024-06-13,2024-05-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029893240424/eng.html
SM-A356B,MEO,029893240424,SM-A356B/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A356BXXU1AXD3,U(Android 14),2024-05-15,2024-04-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029893240424/eng.html
SM-A356B,MEO,029893240424,SM-A356B/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A356BXXU1AXBB,U(Android 14),2024-04-24,2024-02-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029893240424/eng.html
SM-A356B,MOB,029894240424,SM-A356B/MOB, Austria (A1),Austria,A1,Europe,Western Europe,A356BXXU2AXE1,U(Android 14),2024-06-13,2024-05-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029894240424/eng.html
SM-A356B,MOB,029894240424,SM-A356B/MOB, Austria (A1),Austria,A1,Europe,Western Europe,A356BXXU1AXD3,U(Android 14),2024-05-15,2024-04-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029894240424/eng.html
SM-A356B,MOB,029894240424,SM-A356B/MOB, Austria (A1),Austria,A1,Europe,Western Europe,A356BXXU1AXBB,U(Android 14),2024-04-24,2024-02-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029894240424/eng.html
SM-A356B,MOT,029895240424,SM-A356B/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,A356BXXU2AXE1,U(Android 14),2024-06-13,2024-05-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029895240424/eng.html
SM-A356B,MOT,029895240424,SM-A356B/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,A356BXXU1AXD3,U(Android 14),2024-05-15,2024-04-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029895240424/eng.html
SM-A356B,MOT,029895240424,SM-A356B/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,A356BXXU1AXBB,U(Android 14),2024-04-24,2024-02-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029895240424/eng.html
SM-A356B,MSR,029896240424,SM-A356B/MSR, Serbia (Telenor),Serbia,Telenor,Europe,Southern Europe,A356BXXU2AXE1,U(Android 14),2024-06-13,2024-05-01,Galaxy A35 5G,https://doc.samsungmobile.com/SM-A356B/029896240424/eng.html
