model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CWA1,R(Android 11),2023-01-17,2023-01-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBU9CVJ1,R(Android 11),2022-11-14,2022-10-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CVF1,R(Android 11),2022-06-29,2022-06-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CVC1,R(Android 11),2022-04-08,2022-03-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CUL1,R(Android 11),2021-12-14,2021-12-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CUK1,R(Android 11),2021-11-25,2021-11-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CUJ1,R(Android 11),2021-10-27,2021-10-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CUI1,R(Android 11),2021-09-28,2021-09-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBS9CUH1,R(Android 11),2021-08-25,2021-08-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
SM-A505GT,ZTA,006404190522,SM-A505GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,A505GTUBU8CUF2,R(Android 11),2021-07-06,2021-06-01,Galaxy A50 ,https://doc.samsungmobile.com/SM-A505GT/006404190522/eng.html
