model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXS7DWD1,R(Android 11),2023-05-22,2023-05-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXS6DVJ1,R(Android 11),2022-12-07,2022-11-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU6DVG4,R(Android 11),2022-08-02,2022-07-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU6DVE4,R(Android 11),2022-06-15,2022-06-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXS6DVC3,R(Android 11),2022-04-04,2022-04-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU6DVA2,R(Android 11),2022-02-15,2022-02-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU6DUJ2,R(Android 11),2021-11-15,2021-11-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5DUG4,R(Android 11),2021-08-17,2021-08-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5DUE2,R(Android 11),2021-06-23,2021-05-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5DUD1,R(Android 11),2021-05-03,2021-03-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5DUB6,R(Android 11),2021-03-15,2021-03-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5CUB1,Q(Android 10),2021-02-24,2021-01-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5CTK3,Q(Android 10),2020-11-25,2020-11-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXS5BTI1,Q(Android 10),2020-09-25,2020-09-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU5BTG1,Q(Android 10),2020-08-12,2020-08-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU4BTF3,Q(Android 10),2020-06-24,2020-05-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
SM-A507FN,CAM,009131190909,SM-A507FN/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,A507FNXXU4BTD2,Q(Android 10),2020-05-04,2020-04-01,Galaxy A50s ,https://doc.samsungmobile.com/SM-A507FN/009131190909/eng.html
