model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS7CXE1,U(Android 14),2024-06-12,2024-05-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQU6CXDE,U(Android 14),2024-05-16,2024-04-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS6BXD1,U(Android 14),2024-04-15,2024-04-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS6BXA8,U(Android 14),2024-02-16,2024-02-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS5BWL2,U(Android 14),2024-01-02,2023-12-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQU5BWK4,U(Android 14),2023-12-15,2023-11-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS5AWI1,T(Android 13),2023-10-26,2023-10-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQU5AWH8,T(Android 13),2023-09-18,2023-09-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS5AWG4,T(Android 13),2023-08-09,2023-08-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS4AWF2,T(Android 13),2023-07-18,2023-07-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQU3AWE5,T(Android 13),2023-07-11,2023-06-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQU2AWE1,T(Android 13),2023-05-30,2023-05-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQS2AWD3,T(Android 13),2023-04-14,2023-04-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
SM-A546V,PCT,026679230414,SM-A546V/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,A546VSQU1AWC4,T(Android 13),2023-04-13,2023-02-01,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-A546V/026679230414/eng.html
