model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVSACVD1,Q(Android 10),2022-05-11,2022-03-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVSACUK1,Q(Android 10),2021-12-15,2021-11-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS9CUE1,Q(Android 10),2021-06-02,2021-05-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS8CUA1,Q(Android 10),2021-01-28,2021-01-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVU7CTK2,Q(Android 10),2020-12-14,2020-10-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS6CTH2,Q(Android 10),2020-10-05,2020-09-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVU5CTF4,Q(Android 10),2020-08-13,2020-06-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS5BTE1,Pie(Android 9),2020-06-22,2020-06-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS4BTB1,Pie(Android 9),2020-03-25,2020-03-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS3BSK2,Pie(Android 9),2019-12-23,2019-12-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVU2BSI4,Pie(Android 9),2019-11-11,2019-09-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS2BSG1,Pie(Android 9),2019-07-24,2019-07-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVU1BSD3,Pie(Android 9),2019-05-25,2019-04-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
SM-A600T1,TMK,002815190121,SM-A600T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,A600T1UVS1ARL1,Oreo(Android 8.0.0),2019-01-21,2019-01-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T1/002815190121/eng.html
