model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVSACVD2,Q(Android 10),2022-05-11,2022-03-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVSACUK1,Q(Android 10),2021-12-15,2021-11-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS9CUE1,Q(Android 10),2021-06-02,2021-05-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS8CUA1,Q(Android 10),2021-01-28,2021-01-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVU7CTK2,Q(Android 10),2020-12-14,2020-10-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS6CTH2,Q(Android 10),2020-10-05,2020-09-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVU5CTF4,Q(Android 10),2020-08-05,2020-06-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS5BTE1,Pie(Android 9),2020-06-22,2020-06-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS4BTB1,Pie(Android 9),2020-03-25,2020-03-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS3BSK2,Pie(Android 9),2019-12-23,2019-12-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVU2BSI4,Pie(Android 9),2019-11-11,2019-09-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS2BSG1,Pie(Android 9),2019-07-24,2019-07-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVU1BSD3,Pie(Android 9),2019-05-25,2019-04-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
SM-A600T,TMB,002813190121,SM-A600T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,A600TUVS1ARL1,Oreo(Android 8.0.0),2019-01-21,2019-01-01,Galaxy A6 ,https://doc.samsungmobile.com/SM-A600T/002813190121/eng.html
