model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU6CVA2,Q(Android 10),2022-05-06,2021-12-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCS5CUJ1,Q(Android 10),2021-10-26,2021-10-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCS5CUD3,Q(Android 10),2021-04-29,2021-04-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU5CUC4,Q(Android 10),2021-04-12,2021-02-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU5CUA2,Q(Android 10),2021-02-19,2020-12-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU5CTI1,Q(Android 10),2020-10-08,2020-08-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU4CTG1,Q(Android 10),2020-07-31,2020-07-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU4CTE7,Q(Android 10),2020-06-24,2020-04-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCS4BTB1,Pie(Android 9),2020-03-12,2020-02-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU4BSL1,Pie(Android 9),2020-01-17,2019-12-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU3BSJ2,Pie(Android 9),2019-11-11,2019-09-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU3BSH4,Pie(Android 9),2019-08-28,2019-06-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU3BSF3,Pie(Android 9),2019-07-24,2019-06-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
SM-A6050,CHC,000813180615,SM-A6050/CHC, China (Open China),China,Open China,Asia,Eastern Asia,A6050ZCU2BSC9,Pie(Android 9),2019-04-24,2019-03-01,Galaxy A9 Star Lite ,https://doc.samsungmobile.com/SM-A6050/000813180615/eng.html
