model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXS5DWH1,R(Android 11),2023-09-19,2023-06-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXU5DWA2,R(Android 11),2023-02-24,2022-12-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXS5DVC2,R(Android 11),2022-05-05,2022-03-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXU5DUF2,R(Android 11),2021-08-06,2021-07-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXS5DUF1,R(Android 11),2021-07-02,2021-06-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXU5DUC6,R(Android 11),2021-05-06,2021-03-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXS5BTI1,Q(Android 10),2020-11-16,2020-09-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXS5BTG1,Q(Android 10),2020-08-04,2020-07-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXU5BTE2,Q(Android 10),2020-06-20,2020-04-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
SM-A705MN,ALE,009516191012,SM-A705MN/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A705MNXXS5ATB3,Pie(Android 9),2020-03-18,2020-02-01,Galaxy A70 ,https://doc.samsungmobile.com/SM-A705MN/009516191012/eng.html
