model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXSBDXB1,T(Android 13),2024-03-20,2024-02-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXUADWH4,T(Android 13),2023-10-03,2023-08-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXUADWE1,T(Android 13),2023-06-26,2023-06-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXS9DWD1,T(Android 13),2023-04-28,2023-04-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXU8DWB5,T(Android 13),2023-04-10,2023-02-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXU8DVK3,T(Android 13),2022-12-21,2022-11-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXU8CVI3,S(Android 12),2022-11-29,2022-09-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXS8CVF2,S(Android 12),2022-06-25,2022-06-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXU8CVD1,S(Android 12),2022-05-16,2022-04-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
SM-A715F,3IE,011641200304,SM-A715F/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A715FXXS8BVC1,R(Android 11),2022-03-30,2022-03-01,Galaxy A71 ,https://doc.samsungmobile.com/SM-A715F/011641200304/eng.html
