model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CVG1,Q(Android 10),2022-08-18,2022-07-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CVC1,Q(Android 10),2022-03-28,2022-02-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CUI1,Q(Android 10),2021-10-01,2021-09-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CUE1,Q(Android 10),2021-06-08,2021-04-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXS6CUC1,Q(Android 10),2021-04-07,2021-03-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CUA1,Q(Android 10),2021-03-02,2021-01-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CTK1,Q(Android 10),2020-12-31,2020-12-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXS6CTJ2,Q(Android 10),2020-10-26,2020-10-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CTH3,Q(Android 10),2020-08-27,2020-08-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU6CTF1,Q(Android 10),2020-07-03,2020-06-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXS6CTE1,Q(Android 10),2020-06-05,2020-06-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU5CTC5,Q(Android 10),2020-04-13,2020-03-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXS5BTA2,Pie(Android 9),2020-01-16,2020-01-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU4BSK1,Pie(Android 9),2019-12-11,2019-11-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXS4BSJ7,Pie(Android 9),2019-11-07,2019-11-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU3BSI5,Pie(Android 9),2019-10-16,2019-10-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU3BSG3,Pie(Android 9),2019-07-23,2019-07-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU3BSE2,Pie(Android 9),2019-06-25,2019-04-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
SM-A750GN,BRI,002277181119,SM-A750GN/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,A750GNDXU2BSD2,Pie(Android 9),2019-06-24,2019-04-01,Galaxy A7 ,https://doc.samsungmobile.com/SM-A750GN/002277181119/eng.html
