model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXS6BUI1,Oreo(Android 8.1.0),2021-09-30,2021-09-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXS5BUD2,Oreo(Android 8.1.0),2021-05-17,2021-04-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXS5BUB1,Oreo(Android 8.1.0),2021-03-16,2021-02-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXU4BTI2,Oreo(Android 8.1.0),2020-09-28,2020-09-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXS3BTC1,Oreo(Android 8.1.0),2020-03-24,2020-03-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXU2BSG2,Oreo(Android 8.1.0),2019-08-14,2019-08-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXU2BSE6,Oreo(Android 8.1.0),2019-07-01,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,BRI,000103171007,SM-C710F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,C710FDXS2ARH4,Nougat(Android 7.1.1),2018-09-17,2018-08-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/000103171007/eng.html
SM-C710F,CAM,006444190523,SM-C710F/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006444190523/eng.html
SM-C710F,GLB,006449190523,SM-C710F/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006449190523/eng.html
SM-C710F,MM1,003803190320,SM-C710F/MM1, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,C710FDXU2BSB1,Oreo(Android 8.1.0),2019-03-20,2019-02-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/003803190320/eng.html
SM-C710F,SIN,003871190320,SM-C710F/SIN, Singapore (SingTel),Singapore,SingTel,Asia,South-eastern Asia,C710FDXU2BSB1,Oreo(Android 8.1.0),2019-03-20,2019-02-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/003871190320/eng.html
SM-C710F,SMA,006440190523,SM-C710F/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006440190523/eng.html
SM-C710F,STH,003862190320,SM-C710F/STH, Singapore (StarHub),Singapore,StarHub,Asia,South-eastern Asia,C710FDXU2BSB1,Oreo(Android 8.1.0),2019-03-20,2019-02-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/003862190320/eng.html
SM-C710F,THL,006426190523,SM-C710F/THL, Thailand,Thailand,No-carrier,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006426190523/eng.html
SM-C710F,XID,008252190814,SM-C710F/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,C710FDXU2BSG2,Oreo(Android 8.1.0),2019-08-14,2019-08-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/008252190814/eng.html
SM-C710F,XME,006443190523,SM-C710F/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006443190523/eng.html
SM-C710F,XSP,003835190320,SM-C710F/XSP, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,C710FDXU2BSB1,Oreo(Android 8.1.0),2019-03-20,2019-02-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/003835190320/eng.html
SM-C710F,XTC,006422190523,SM-C710F/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006422190523/eng.html
SM-C710F,XXV,006416190523,SM-C710F/XXV, Vietnam,Vietnam,No-carrier,Asia,South-eastern Asia,C710FDXS2BSE3,Oreo(Android 8.1.0),2019-05-23,2019-05-01,Galaxy J7+ ,https://doc.samsungmobile.com/SM-C710F/006416190523/eng.html
