model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU6EXE5,U(Android 14),2024-06-05,2024-05-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXS5DXC1,U(Android 14),2024-03-28,2024-03-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXS5DXA5,U(Android 14),2024-01-30,2023-12-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU5DWL2,U(Android 14),2023-12-26,2023-12-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXS5CWL1,T(Android 13),2023-12-14,2023-11-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU4CWI1,T(Android 13),2023-09-26,2023-08-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXS4CWG2,T(Android 13),2023-07-31,2023-06-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU3CWD1,T(Android 13),2023-05-30,2023-04-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU3CWD1,T(Android 13),2023-05-02,2023-04-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU2CWC1,T(Android 13),2023-03-28,2023-02-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXS2BWB1,T(Android 13),2023-02-17,2023-02-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1BWA5,T(Android 13),2023-01-27,2022-12-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1BVL1,T(Android 13),2022-12-22,2022-11-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1AVJ1,S(Android 12),2022-10-17,2022-09-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1AVH1,S(Android 12),2022-08-31,2022-07-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1AVF1,S(Android 12),2022-06-25,2022-06-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1AVD2,S(Android 12),2022-04-27,2022-03-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1AVC4,S(Android 12),2022-04-13,2022-03-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
SM-E236B,INS,021962220316,SM-E236B/INS, India,India,No-carrier,Asia,Southern Asia,E236BXXU1AVC1,S(Android 12),2022-03-16,2022-02-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-E236B/021962220316/eng.html
