model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCS4DXE1,T(Android 13),2024-06-13,2024-04-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU4DWI1,T(Android 13),2023-10-24,2023-07-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU3DWF2,T(Android 13),2023-08-03,2023-06-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU2DWB4,T(Android 13),2023-03-15,2022-12-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU2CWB2,T(Android 13),2023-02-13,2022-12-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1CVK8,T(Android 13),2022-12-01,2022-10-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1BVJ1,S(Android 12),2022-10-31,2022-06-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCS1BVG1,S(Android 12),2022-07-23,2022-05-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1BVF4,S(Android 12),2022-06-30,2022-04-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1BVD6,S(Android 12),2022-05-09,2022-03-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AVCC,R(Android 11),2022-04-11,2022-02-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AVA8,R(Android 11),2022-03-30,2022-01-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AVA6,R(Android 11),2022-02-14,2022-01-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AUJ2,R(Android 11),2021-10-26,2021-10-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCS1AUG2,R(Android 11),2021-08-04,2021-08-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AUF3,R(Android 11),2021-06-30,2021-05-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AUF1,R(Android 11),2021-06-10,2021-05-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
SM-E5260,CHC,018920210527,SM-E5260/CHC, China (Open China),China,Open China,Asia,Eastern Asia,E5260ZCU1AUE6,R(Android 11),2021-05-27,2021-05-01,Galaxy F52 5G ,https://doc.samsungmobile.com/SM-E5260/018920210527/eng.html
