model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDS6CXE2,T(Android 13),2024-05-28,2024-05-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDS5CXA3,T(Android 13),2024-02-08,2024-01-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU4CWI1,T(Android 13),2023-09-28,2023-08-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU4CWF1,T(Android 13),2023-06-19,2023-06-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU3CWC2,T(Android 13),2023-03-30,2023-03-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU3CWB4,T(Android 13),2023-02-28,2023-02-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDS3CWB1,T(Android 13),2023-02-15,2023-02-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2CVK2,T(Android 13),2022-11-22,2022-11-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2BVH2,S(Android 12),2022-08-11,2022-07-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2BVG2,S(Android 12),2022-08-03,2022-07-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2BVG1,S(Android 12),2022-07-07,2022-07-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDS2BVE1,S(Android 12),2022-05-24,2022-05-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2BVC3,S(Android 12),2022-03-28,2022-02-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2AVA3,R(Android 11),2022-02-16,2022-01-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU2AUI2,R(Android 11),2021-10-05,2021-10-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU1AUG1,R(Android 11),2021-07-14,2021-07-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU1AUD1,R(Android 11),2021-04-13,2021-04-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU1AUB4,R(Android 11),2021-03-11,2021-02-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
SM-E625F,INS,017648210222,SM-E625F/INS, India,India,No-carrier,Asia,Southern Asia,E625FDDU1AUB4,R(Android 11),2021-02-22,2021-02-01,Galaxy F62 ,https://doc.samsungmobile.com/SM-E625F/017648210222/eng.html
