model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXS8DXE4,T(Android 13),2024-06-10,2024-05-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXS7DWL1,T(Android 13),2024-01-05,2023-12-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXS6DWK1,T(Android 13),2023-11-28,2023-11-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXU6DWI3,T(Android 13),2023-10-17,2023-08-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXU5DWF2,T(Android 13),2023-06-28,2023-06-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXU4DWD1,T(Android 13),2023-04-24,2023-03-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXS4CWB1,T(Android 13),2023-02-20,2023-02-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXU3CWA2,T(Android 13),2023-01-25,2022-11-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXU3CWA1,T(Android 13),2023-01-05,2022-11-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
SM-F127G,INS,017298210201,SM-F127G/INS, India,India,No-carrier,Asia,Southern Asia,F127GXXU3CVL4,T(Android 13),2023-01-02,2022-11-01,Galaxy F12 ,https://doc.samsungmobile.com/SM-F127G/017298210201/eng.html
