model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXS3CXD1,S(Android 12),2024-05-07,2024-04-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU2CWI1,S(Android 12),2023-10-12,2023-08-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU2CWH1,S(Android 12),2023-08-24,2023-08-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU2CWE2,S(Android 12),2023-06-21,2023-05-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXS2CVK1,S(Android 12),2023-01-06,2022-11-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU2CVH1,S(Android 12),2022-09-08,2022-08-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU1CVD1,S(Android 12),2022-05-03,2022-03-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXS1BVB7,R(Android 11),2022-03-29,2022-03-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXS1BUK2,R(Android 11),2021-12-27,2021-12-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU1BUH7,R(Android 11),2021-09-15,2021-09-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU1BUG2,R(Android 11),2021-08-09,2021-06-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU1BUF1,R(Android 11),2021-06-17,2021-06-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU1BUD1,R(Android 11),2021-04-19,2021-03-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
SM-F415F,INS,014490200912,SM-F415F/INS, India,India,No-carrier,Asia,Southern Asia,F415FXXU1BUC8,R(Android 11),2021-04-05,2021-03-01,Galaxy F41 ,https://doc.samsungmobile.com/SM-F415F/014490200912/eng.html
