model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES8JXA1,T(Android 13),2024-01-12,2024-01-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU8JWI2,T(Android 13),2023-10-17,2023-10-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU7IWE1,T(Android 13),2023-07-05,2023-06-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU6IWD2,T(Android 13),2023-05-02,2023-04-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES5IWC2,T(Android 13),2023-03-15,2023-03-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU5IWB1,T(Android 13),2023-02-27,2023-02-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES5HWA1,T(Android 13),2023-01-25,2023-01-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES5HVL2,T(Android 13),2023-01-09,2022-12-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU5HVK7,T(Android 13),2022-12-21,2022-11-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES5GVIJ,S(Android 12),2022-10-19,2022-10-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES5GVHC,S(Android 12),2022-09-29,2022-09-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU5GVHA,S(Android 12),2022-09-23,2022-08-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4GVG2,S(Android 12),2022-08-07,2022-07-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4GVE9,S(Android 12),2022-06-07,2022-05-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4GVD2,S(Android 12),2022-04-22,2022-04-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4GVC4,S(Android 12),2022-04-01,2022-03-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4FVAB,S(Android 12),2022-02-18,2022-02-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4FVA1,S(Android 12),2022-02-11,2022-01-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4FUL9,S(Android 12),2022-02-05,2021-12-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4EUL1,R(Android 11),2021-12-29,2021-12-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4EUK1,R(Android 11),2021-12-06,2021-11-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4EUI2,R(Android 11),2021-10-20,2021-10-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4EUI1,R(Android 11),2021-09-24,2021-09-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4EUH6,R(Android 11),2021-09-13,2021-08-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4DUF1,R(Android 11),2021-07-13,2021-07-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UES4DUE1,R(Android 11),2021-06-11,2021-06-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
SM-F700U1,ACG,010857200214,SM-F700U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,F700U1UEU4DUDB,R(Android 11),2021-05-31,2021-05-01,Galaxy Z Flip ,https://doc.samsungmobile.com/SM-F700U1/010857200214/eng.html
