model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS6KXE3,T(Android 13),2024-05-23,2024-05-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS5KXC1,T(Android 13),2024-03-24,2024-03-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS5KWK1,T(Android 13),2023-12-11,2023-12-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS4KWH8,T(Android 13),2023-09-25,2023-09-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQU4KWH7,T(Android 13),2023-09-06,2023-08-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS4JWG8,T(Android 13),2023-08-10,2023-08-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS3JWF3,T(Android 13),2023-07-07,2023-07-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQU3JWF1,T(Android 13),2023-06-19,2023-06-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS2JWE4,T(Android 13),2023-05-19,2023-05-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQU2JWD1,T(Android 13),2023-05-08,2023-04-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQS2JWC1,T(Android 13),2023-03-16,2023-03-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
SM-F916U,SPR,014497200914,SM-F916U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,F916USQU2JWB5,T(Android 13),2023-03-13,2023-02-01,Galaxy Z Fold2 5G ,https://doc.samsungmobile.com/SM-F916U/014497200914/eng.html
