model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLS5FXE5,U(Android 14),2024-05-24,2024-05-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLU4FXE3,U(Android 14),2024-05-14,2024-04-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLS4EXAD,U(Android 14),2024-02-16,2024-02-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLS3EWL9,U(Android 14),2024-01-12,2024-01-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLU3EWL1,U(Android 14),2023-12-19,2023-12-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLS3DWI1,T(Android 13),2023-10-13,2023-10-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLS3DWH9,T(Android 13),2023-09-22,2023-09-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLU3DWH5,T(Android 13),2023-09-07,2023-08-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLS3CWF2,T(Android 13),2023-07-14,2023-07-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
SM-F936W,BMC,025203221012,SM-F936W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,F936WVLU2CWEO,T(Android 13),2023-06-20,2023-06-01,Galaxy Z Fold4,https://doc.samsungmobile.com/SM-F936W/025203221012/eng.html
