model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDS5CUI1,Pie(Android 9),2021-10-01,2021-09-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDS4CUD1,Pie(Android 9),2021-05-18,2021-03-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU4CTL2,Pie(Android 9),2020-12-29,2020-12-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDS3CTH1,Pie(Android 9),2020-09-11,2020-09-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDS2CTC1,Pie(Android 9),2020-06-02,2020-03-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1CSJ1,Pie(Android 9),2019-11-15,2019-11-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1CSI1,Pie(Android 9),2019-09-25,2019-09-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1CSF2,Pie(Android 9),2019-07-15,2019-06-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1CSD8,Pie(Android 9),2019-05-16,2019-05-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1CSD8,Pie(Android 9),2019-05-10,2019-05-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1BSA3,Oreo(Android 8.0.0),2019-02-15,2019-02-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
SM-G611FF,INS,000311180314,SM-G611FF/INS, India,India,No-carrier,Asia,Southern Asia,G611FFDDU1BRI5,Oreo(Android 8.0.0),2018-09-27,2018-09-01,Galaxy J7 Prime 2 ,https://doc.samsungmobile.com/SM-G611FF/000311180314/eng.html
