model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJS8CUG1,Pie(Android 9),2021-08-13,2021-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJU8CUE2,Pie(Android 9),2021-05-28,2021-04-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJU7CUA1,Pie(Android 9),2021-03-04,2021-01-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJS7CTJ3,Pie(Android 9),2020-11-28,2020-10-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJS4CTC3,Pie(Android 9),2020-04-14,2020-04-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJS3CTA1,Pie(Android 9),2020-01-28,2020-01-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJU2CSJ1,Pie(Android 9),2019-10-31,2019-10-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJS2CSG1,Pie(Android 9),2019-08-14,2019-07-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJU2CSE1,Pie(Android 9),2019-07-13,2019-05-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
SM-G611MT,ZTM,002336181123,SM-G611MT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,G611MTVJS2BRL2,Oreo(Android 8.0.0),2019-01-13,2018-12-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611MT/002336181123/eng.html
