model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBSACUG1,Pie(Android 9),2021-08-07,2021-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBSACUD1,Pie(Android 9),2021-05-03,2021-04-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBS9CTJ2,Pie(Android 9),2020-11-05,2020-10-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBS6CTD1,Pie(Android 9),2020-04-18,2020-04-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBS4CTA1,Pie(Android 9),2020-01-23,2020-01-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBU3CSJ1,Pie(Android 9),2019-11-12,2019-11-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBU3CSI2,Pie(Android 9),2019-10-09,2019-10-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBS3CSG1,Pie(Android 9),2019-07-18,2019-07-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBU3CSE1,Pie(Android 9),2019-05-22,2019-05-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBS3BSC2,Oreo(Android 8.0.0),2019-03-30,2019-03-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBS3BRL1,Oreo(Android 8.0.0),2019-01-12,2018-12-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBU3BRI3,Oreo(Android 8.0.0),2018-10-18,2018-09-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,BVO,001166180818,SM-G611M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G611MUBU3ARG4,Nougat(Android 7.1.1),2018-08-18,2018-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001166180818/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBSACUG1,Pie(Android 9),2021-08-07,2021-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBSACUD1,Pie(Android 9),2021-06-01,2021-04-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBS9CTJ2,Pie(Android 9),2020-11-06,2020-10-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBS6CTD1,Pie(Android 9),2020-05-21,2020-04-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBS4CTA1,Pie(Android 9),2020-02-18,2020-01-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBU3CSJ1,Pie(Android 9),2019-11-19,2019-11-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBS3CSG1,Pie(Android 9),2019-08-10,2019-07-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBU3CSE1,Pie(Android 9),2019-06-19,2019-05-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBS3BSC3,Oreo(Android 8.0.0),2019-04-16,2019-03-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBS3BSA1,Oreo(Android 8.0.0),2019-02-13,2019-01-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CGU,002719181230,SM-G611M/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G611MUBU3BRI3,Oreo(Android 8.0.0),2018-12-29,2018-09-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/002719181230/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBSACUG3,Pie(Android 9),2021-10-29,2021-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBS9CUB1,Pie(Android 9),2021-04-10,2021-02-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBU8CTH2,Pie(Android 9),2020-10-12,2020-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBS5CTB2,Pie(Android 9),2020-04-16,2020-02-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBU3CSJ1,Pie(Android 9),2020-01-31,2019-11-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBS3CSG1,Pie(Android 9),2019-09-02,2019-07-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBU3CSE1,Pie(Android 9),2019-06-26,2019-05-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBS3BRL1,Oreo(Android 8.0.0),2019-02-08,2018-12-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBU3BRI3,Oreo(Android 8.0.0),2018-11-13,2018-09-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHE,001935181004,SM-G611M/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,G611MUBU3ARG4,Nougat(Android 7.1.1),2018-10-04,2018-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001935181004/eng.html
SM-G611M,CHL,001599180905,SM-G611M/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,G611MUBSACUG2,Pie(Android 9),2021-08-10,2021-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001599180905/eng.html
SM-G611M,CHL,001599180905,SM-G611M/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,G611MUBS9CTL1,Pie(Android 9),2020-12-31,2020-12-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001599180905/eng.html
SM-G611M,CHL,001599180905,SM-G611M/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,G611MUBS9CTJ3,Pie(Android 9),2020-10-30,2020-10-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001599180905/eng.html
SM-G611M,CHL,001599180905,SM-G611M/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,G611MUBS8CTH1,Pie(Android 9),2020-08-29,2020-08-01,Galaxy On7 Refresh ,https://doc.samsungmobile.com/SM-G611M/001599180905/eng.html
