model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSDFXA1,T(Android 13),2024-02-26,2024-02-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSCFWK1,T(Android 13),2023-11-29,2023-11-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUCFWJ4,T(Android 13),2023-11-22,2023-08-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSCFWI1,T(Android 13),2023-09-22,2023-08-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUCFWF1,T(Android 13),2023-06-20,2023-06-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUBFWC4,T(Android 13),2023-04-17,2023-03-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSBEWB1,T(Android 13),2023-02-15,2023-02-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUBEWA2,T(Android 13),2023-01-19,2023-01-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSAEVL2,T(Android 13),2022-12-26,2022-12-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUAEVK7,T(Android 13),2022-12-22,2022-11-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSADVJ1,S(Android 12),2022-10-22,2022-10-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSADVI1,S(Android 12),2022-09-30,2022-09-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUADVG4,S(Android 12),2022-08-15,2022-08-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSADVG1,S(Android 12),2022-07-12,2022-07-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXUADVF1,S(Android 12),2022-06-22,2022-06-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXSADVE2,S(Android 12),2022-05-30,2022-05-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXU9DVD2,S(Android 12),2022-04-21,2022-04-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXU9DVC3,S(Android 12),2022-03-31,2022-03-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXS9CVB1,R(Android 11),2022-03-04,2022-02-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXU9CVA3,R(Android 11),2022-02-13,2022-01-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXS9CUL2,R(Android 11),2022-01-05,2021-12-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXS9CUK1,R(Android 11),2021-11-24,2021-11-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXU9CUJ3,R(Android 11),2021-10-26,2021-10-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXS9CUI1,R(Android 11),2021-09-28,2021-09-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXS9CUH1,R(Android 11),2021-08-23,2021-08-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXU9CUG5,R(Android 11),2021-08-10,2021-07-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
SM-G715FN,ATO,010529200123,SM-G715FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,G715FNXXS9CUG2,R(Android 11),2021-07-19,2021-07-01,Galaxy Xcover Pro ,https://doc.samsungmobile.com/SM-G715FN/010529200123/eng.html
