model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSEHXE3,T(Android 13),2024-06-17,2024-06-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSEHXE2,T(Android 13),2024-05-28,2024-05-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSDHXD2,T(Android 13),2024-04-18,2024-04-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSCHXC1,T(Android 13),2024-03-18,2024-03-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSCHXA1,T(Android 13),2024-02-14,2024-02-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSCHWL1,T(Android 13),2024-01-18,2024-01-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSCHWK1,T(Android 13),2023-12-19,2023-12-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSBHWJ1,T(Android 13),2023-11-22,2023-11-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSBHWI1,T(Android 13),2023-10-16,2023-10-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSBHWHA,T(Android 13),2023-09-21,2023-09-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQUAHWH5,T(Android 13),2023-09-07,2023-08-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSAHWG9,T(Android 13),2023-08-10,2023-08-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQSAHWF1,T(Android 13),2023-07-24,2023-07-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU9HWE1,T(Android 13),2023-06-30,2023-06-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS8HWD4,T(Android 13),2023-05-10,2023-05-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU8HWD2,T(Android 13),2023-05-02,2023-04-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS7HWB6,T(Android 13),2023-03-20,2023-03-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU7HWB2,T(Android 13),2023-03-09,2023-02-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS7GWA1,T(Android 13),2023-01-23,2023-01-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU7GVL1,T(Android 13),2022-12-29,2022-12-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS7FVK1,S(Android 12),2022-11-23,2022-11-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS7FVI1,S(Android 12),2022-10-10,2022-10-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU6FVH2,S(Android 12),2022-10-04,2022-09-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS6FVG6,S(Android 12),2022-08-24,2022-08-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU6FVG5,S(Android 12),2022-08-10,2022-07-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU6FVG3,S(Android 12),2022-07-27,2022-07-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS6FVE2,S(Android 12),2022-06-20,2022-06-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS6FVD2,S(Android 12),2022-05-24,2022-05-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS6FVD1,S(Android 12),2022-04-28,2022-04-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU6FVC1,S(Android 12),2022-04-07,2022-03-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU5EVAA,S(Android 12),2022-03-02,2022-02-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS5EVA4,S(Android 12),2022-01-28,2022-01-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU5EULH,S(Android 12),2022-01-20,2021-12-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQS5DUK2,R(Android 11),2021-11-08,2021-11-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU5DUJ2,R(Android 11),2021-10-25,2021-10-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU5DUH5,R(Android 11),2021-09-15,2021-09-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
SM-G781V,CCT,018698210429,SM-G781V/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,G781VSQU4DUG6,R(Android 11),2021-08-17,2021-08-01,Galaxy S20 FE 5G ,https://doc.samsungmobile.com/SM-G781V/018698210429/eng.html
