model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G800F,AVF,017315210201,SM-G800F/AVF, Albania (Vodafone),Albania,Vodafone,Europe,Southern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017315210201/eng.html
SM-G800F,CNX,017335210201,SM-G800F/CNX, Romania (Vodafone),Romania,Vodafone,Europe,Eastern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017335210201/eng.html
SM-G800F,COA,017363210203,SM-G800F/COA, Romania (Cosmote),Romania,Cosmote,Europe,Eastern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017363210203/eng.html
SM-G800F,COS,017389210203,SM-G800F/COS, Greece (Cosmote),Greece,Cosmote,Europe,Southern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017389210203/eng.html
SM-G800F,CRO,017380210203,SM-G800F/CRO, Croatia (T-Mobile),Croatia,T-Mobile,Europe,Southern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017380210203/eng.html
SM-G800F,CYV,017293210201,SM-G800F/CYV, Cyprus (Vodafone),Cyprus,Vodafone,Asia,Western Asia,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017293210201/eng.html
SM-G800F,DBT,016092201212,SM-G800F/DBT, Germany,Germany,No-carrier,Europe,Western Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/016092201212/eng.html
SM-G800F,DTM,017374210203,SM-G800F/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017374210203/eng.html
SM-G800F,FTM,017381210203,SM-G800F/FTM, France (Orange),France,Orange,Europe,Western Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017381210203/eng.html
SM-G800F,MAT,023526220810,SM-G800F/MAT, Morocco (MAT),Morocco,MAT,Africa,Northern Africa,G800FXXU1CVG6,Marshmallow(Android 6.0.1),2022-08-09,2016-12-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/023526220810/eng.html
SM-G800F,MBM,017365210203,SM-G800F/MBM, Macedonia (T-Mobile),Macedonia,T-Mobile,Europe,Southern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017365210203/eng.html
SM-G800F,MOB,017290210201,SM-G800F/MOB, Austria (A1),Austria,A1,Europe,Western Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017290210201/eng.html
SM-G800F,MRU,023532220810,SM-G800F/MRU, Mauritius,Mauritius,No-carrier,Africa,Sub-Saharan Africa,G800FXXU1CVG6,Marshmallow(Android 6.0.1),2022-08-09,2016-12-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/023532220810/eng.html
SM-G800F,MTL,017301210201,SM-G800F/MTL, Bulgaria (MTL),Bulgaria,MTL,Europe,Eastern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017301210201/eng.html
SM-G800F,OMN,017326210201,SM-G800F/OMN, Italy (Vodafone),Italy,Vodafone,Europe,Southern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017326210201/eng.html
SM-G800F,ORO,017367210203,SM-G800F/ORO, Romania (Orange),Romania,Orange,Europe,Eastern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017367210203/eng.html
SM-G800F,ORS,017385210203,SM-G800F/ORS, Slovakia,Slovakia,No-carrier,Europe,Eastern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-10-10,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017385210203/eng.html
SM-G800F,SIM,017348210201,SM-G800F/SIM, Slovenia (Si),Slovenia,Si,Europe,Southern Europe,G800FXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,GALAXY S5 mini ,https://doc.samsungmobile.com/SM-G800F/017348210201/eng.html
