model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU5CVG1,Q(Android 10),2022-08-24,2022-06-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU5CVD2,Q(Android 10),2022-05-20,2022-01-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXS5CUL1,Q(Android 10),2021-12-22,2021-11-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU5CUG1,Q(Android 10),2021-08-11,2021-06-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXS4CUD1,Q(Android 10),2021-04-30,2021-04-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU4CTL1,Q(Android 10),2021-01-21,2020-12-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU3CTF4,Q(Android 10),2020-07-08,2020-06-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU3CTD8,Q(Android 10),2020-05-04,2020-04-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXS3BTA1,Pie(Android 9),2020-01-20,2020-01-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU2BSH3,Pie(Android 9),2019-09-19,2019-08-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU2BSF8,Pie(Android 9),2019-06-17,2019-05-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU2ARK4,Oreo(Android 8.0.0),2018-12-12,2018-11-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
SM-G885Y,BRI,000880180623,SM-G885Y/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G885YDXU2ARI2,Oreo(Android 8.0.0),2018-10-18,2018-09-01,Galaxy A8 Star ,https://doc.samsungmobile.com/SM-G885Y/000880180623/eng.html
