model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G900H,ARO,024104220823,SM-G900H/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH1,Marshmallow(Android 6.0.1),2022-08-22,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/024104220823/eng.html
SM-G900H,BTC,025403221102,SM-G900H/BTC, Libya,Libya,No-carrier,Africa,Northern Africa,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025403221102/eng.html
SM-G900H,BVO,025124221004,SM-G900H/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH1,Marshmallow(Android 6.0.1),2022-10-04,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025124221004/eng.html
SM-G900H,CTI,025551221221,SM-G900H/CTI, Argentina (Claro),Argentina,Claro,Americas,Latin America and the Caribbean,G900HXXU1CVJ4,Marshmallow(Android 6.0.1),2022-12-20,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025551221221/eng.html
SM-G900H,CTP,025552221221,SM-G900H/CTP, Paraguay (Claro),Paraguay,Claro,Americas,Latin America and the Caribbean,G900HXXU1CVJ4,Marshmallow(Android 6.0.1),2022-12-20,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025552221221/eng.html
SM-G900H,EGY,025402221102,SM-G900H/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025402221102/eng.html
SM-G900H,EON,025125221004,SM-G900H/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH1,Marshmallow(Android 6.0.1),2022-10-04,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025125221004/eng.html
SM-G900H,JDI,025460221118,SM-G900H/JDI, Jamaica,Jamaica,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH7,Marshmallow(Android 6.0.1),2022-11-18,2016-06-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025460221118/eng.html
SM-G900H,LYS,025405221102,SM-G900H/LYS, Libya,Libya,No-carrier,Africa,Northern Africa,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025405221102/eng.html
SM-G900H,NBS,025584230112,SM-G900H/NBS, South America (Open Line),South America,Open Line,,,G900HXXU1CVJ3,Marshmallow(Android 6.0.1),2023-01-11,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025584230112/eng.html
SM-G900H,PCW,027035230817,SM-G900H/PCW, Panama (Cable & Wireless),Panama,Cable & Wireless,Americas,Latin America and the Caribbean,G900HXXU1CVH7,Marshmallow(Android 6.0.1),2023-08-16,2016-06-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/027035230817/eng.html
SM-G900H,PSN,025310221028,SM-G900H/PSN, Argentina (Personal),Argentina,Personal,Americas,Latin America and the Caribbean,G900HXXU1CVH5,Marshmallow(Android 6.0.1),2022-10-27,2016-08-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025310221028/eng.html
SM-G900H,PSP,025186221008,SM-G900H/PSP, Paraguay (Personal),Paraguay,Personal,Americas,Latin America and the Caribbean,G900HXXU1CVH5,Marshmallow(Android 6.0.1),2022-10-07,2016-08-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025186221008/eng.html
SM-G900H,SER,025053220927,SM-G900H/SER, Russia,Russia,No-carrier,Europe,Eastern Europe,G900HXXU1CVG7,Marshmallow(Android 6.0.1),2022-09-27,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025053220927/eng.html
SM-G900H,SKZ,024001220820,SM-G900H/SKZ, Kazakhstan,Kazakhstan,No-carrier,Asia,Central Asia,G900HXXU1CVG5,Marshmallow(Android 6.0.1),2022-08-19,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/024001220820/eng.html
SM-G900H,TGP,025184221008,SM-G900H/TGP, Paraguay (Tigo),Paraguay,Tigo,Americas,Latin America and the Caribbean,G900HXXU1CVH8,Marshmallow(Android 6.0.1),2022-10-07,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025184221008/eng.html
SM-G900H,TGU,025586230112,SM-G900H/TGU, Guatemala,Guatemala,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVJ3,Marshmallow(Android 6.0.1),2023-01-11,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025586230112/eng.html
SM-G900H,THR,025404221102,SM-G900H/THR, Iran,Iran,No-carrier,Asia,Southern Asia,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025404221102/eng.html
SM-G900H,TMC,025407221102,SM-G900H/TMC, Algeria,Algeria,No-carrier,Africa,Northern Africa,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025407221102/eng.html
SM-G900H,TPA,025118221004,SM-G900H/TPA, Panama,Panama,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH1,Marshmallow(Android 6.0.1),2022-10-04,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025118221004/eng.html
SM-G900H,TTT,025116221004,SM-G900H/TTT, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH1,Marshmallow(Android 6.0.1),2022-10-04,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025116221004/eng.html
SM-G900H,TUN,025408221102,SM-G900H/TUN, Tunisia,Tunisia,No-carrier,Africa,Northern Africa,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025408221102/eng.html
SM-G900H,UFN,025582230112,SM-G900H/UFN, Argentina (Movistar),Argentina,Movistar,Americas,Latin America and the Caribbean,G900HXXU1CVJ3,Marshmallow(Android 6.0.1),2023-01-11,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025582230112/eng.html
SM-G900H,UPO,025122221004,SM-G900H/UPO, Uruguay,Uruguay,No-carrier,Americas,Latin America and the Caribbean,G900HXXU1CVH1,Marshmallow(Android 6.0.1),2022-10-04,2016-10-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025122221004/eng.html
SM-G900H,WTL,025406221102,SM-G900H/WTL, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-11-02,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/025406221102/eng.html
SM-G900H,XSG,024130220824,SM-G900H/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G900HXXU1CVHA,Marshmallow(Android 6.0.1),2022-08-23,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/024130220824/eng.html
SM-G900H,XXV,024115220824,SM-G900H/XXV, Vietnam,Vietnam,No-carrier,Asia,South-eastern Asia,G900HXXU1CVG4,Marshmallow(Android 6.0.1),2022-08-23,2017-04-01,GALAXY S5 ,https://doc.samsungmobile.com/SM-G900H/024115220824/eng.html
