model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G925I,ALE,016616210115,SM-G925I/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,G925IDVU4FVH2,Nougat(Android 7.0),2023-01-24,2017-05-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/016616210115/eng.html
SM-G925I,ALE,016616210115,SM-G925I/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,G925IDVS4FTKQ,Nougat(Android 7.0),2021-01-15,2017-05-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/016616210115/eng.html
SM-G925I,ARO,015767201124,SM-G925I/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,G925IDVU4FVHM,Nougat(Android 7.0),2022-08-30,2018-03-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015767201124/eng.html
SM-G925I,ARO,015767201124,SM-G925I/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,G925IDVS4FTJ3,Nougat(Android 7.0),2020-11-24,2018-03-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015767201124/eng.html
SM-G925I,BAT,015881201129,SM-G925I/BAT, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,G925IDVU4FVHK,Nougat(Android 7.0),2023-01-24,2018-04-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015881201129/eng.html
SM-G925I,BAT,015881201129,SM-G925I/BAT, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,G925IDVS4FTJ5,Nougat(Android 7.0),2020-11-28,2018-04-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015881201129/eng.html
SM-G925I,BNG,024216220829,SM-G925I/BNG, Bangladesh,Bangladesh,No-carrier,Asia,Southern Asia,G925IDVU4FVG1,Nougat(Android 7.0),2022-08-29,2018-06-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/024216220829/eng.html
SM-G925I,BVO,015805201124,SM-G925I/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G925IDVU4FVHM,Nougat(Android 7.0),2022-10-10,2018-03-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015805201124/eng.html
SM-G925I,BVO,015805201124,SM-G925I/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G925IDVS4FTJ3,Nougat(Android 7.0),2020-11-24,2018-03-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015805201124/eng.html
SM-G925I,CDR,015972201203,SM-G925I/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,G925IDVU4FVHA,Nougat(Android 7.0),2023-01-24,2017-12-01,Galaxy S6 edge ,https://doc.samsungmobile.com/SM-G925I/015972201203/eng.html
