model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G928C,ACR,016361201230,SM-G928C/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,G928CXXU5CVG2,Nougat(Android 7.0),2022-08-19,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016361201230/eng.html
SM-G928C,ACR,016361201230,SM-G928C/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,G928CXXS5CTJ2,Nougat(Android 7.0),2020-12-30,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016361201230/eng.html
SM-G928C,AFG,016337201230,SM-G928C/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,G928CXXU5CVG2,Nougat(Android 7.0),2022-08-19,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016337201230/eng.html
SM-G928C,AFG,016337201230,SM-G928C/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,G928CXXS5CTJ2,Nougat(Android 7.0),2020-12-30,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016337201230/eng.html
SM-G928C,AFR,016333201230,SM-G928C/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,G928CXXU5CVG2,Nougat(Android 7.0),2022-08-19,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016333201230/eng.html
SM-G928C,AFR,016333201230,SM-G928C/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,G928CXXS5CTJ2,Nougat(Android 7.0),2020-12-30,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016333201230/eng.html
SM-G928C,BTC,016353201230,SM-G928C/BTC, Libya,Libya,No-carrier,Africa,Northern Africa,G928CXXU5CVG2,Nougat(Android 7.0),2022-08-19,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016353201230/eng.html
SM-G928C,BTC,016353201230,SM-G928C/BTC, Libya,Libya,No-carrier,Africa,Northern Africa,G928CXXS5CTJ2,Nougat(Android 7.0),2020-12-30,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016353201230/eng.html
SM-G928C,CAM,016357201230,SM-G928C/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,G928CXXU5CVG4,Nougat(Android 7.0),2022-08-30,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016357201230/eng.html
SM-G928C,CAM,016357201230,SM-G928C/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,G928CXXS5CTJ1,Nougat(Android 7.0),2020-12-30,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928C/016357201230/eng.html
