model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G928G,ARO,015426201106,SM-G928G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,G928GUBU5CVG2,Nougat(Android 7.0),2022-09-13,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015426201106/eng.html
SM-G928G,ARO,015426201106,SM-G928G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,G928GUBS5CTJ2,Nougat(Android 7.0),2020-11-06,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015426201106/eng.html
SM-G928G,BAT,015422201106,SM-G928G/BAT, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,G928GUBU5CVG3,Nougat(Android 7.0),2022-09-13,2018-06-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015422201106/eng.html
SM-G928G,BAT,015422201106,SM-G928G/BAT, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,G928GUBS5CTJ3,Nougat(Android 7.0),2020-11-06,2018-06-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015422201106/eng.html
SM-G928G,BVO,015452201106,SM-G928G/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G928GUBU5CVG2,Nougat(Android 7.0),2022-09-13,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015452201106/eng.html
SM-G928G,BVO,015452201106,SM-G928G/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,G928GUBS5CTJ2,Nougat(Android 7.0),2020-11-06,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015452201106/eng.html
SM-G928G,CDR,015973201203,SM-G928G/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,G928GUBU5CVG6,Nougat(Android 7.0),2022-08-23,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015973201203/eng.html
SM-G928G,CDR,015973201203,SM-G928G/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,G928GUBS5CTJ9,Nougat(Android 7.0),2020-12-02,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015973201203/eng.html
SM-G928G,CGU,016216201219,SM-G928G/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,G928GUBS5CTJA,Nougat(Android 7.0),2020-12-18,2018-01-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016216201219/eng.html
SM-G928G,CHL,016208201218,SM-G928G/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,G928GUBU5CVG8,Nougat(Android 7.0),2022-08-29,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016208201218/eng.html
SM-G928G,CHL,016208201218,SM-G928G/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,G928GUBS5CTJB,Nougat(Android 7.0),2020-12-17,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016208201218/eng.html
SM-G928G,CHO,016194201218,SM-G928G/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,G928GUBU5CVG6,Nougat(Android 7.0),2022-09-01,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016194201218/eng.html
SM-G928G,CHO,016194201218,SM-G928G/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,G928GUBS5CTJ9,Nougat(Android 7.0),2020-12-17,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016194201218/eng.html
SM-G928G,COB,015979201203,SM-G928G/COB, Colombia (Movistar),Colombia,Movistar,Americas,Latin America and the Caribbean,G928GUBU5CVG9,Nougat(Android 7.0),2022-09-15,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015979201203/eng.html
SM-G928G,COB,015979201203,SM-G928G/COB, Colombia (Movistar),Colombia,Movistar,Americas,Latin America and the Caribbean,G928GUBS5CTJC,Nougat(Android 7.0),2020-12-02,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015979201203/eng.html
SM-G928G,COE,016196201218,SM-G928G/COE, Colombia (ETB),Colombia,ETB,Americas,Latin America and the Caribbean,G928GUBU5CVGF,Nougat(Android 7.0),2022-11-09,2018-07-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016196201218/eng.html
SM-G928G,COE,016196201218,SM-G928G/COE, Colombia (ETB),Colombia,ETB,Americas,Latin America and the Caribbean,G928GUBS5CTK7,Nougat(Android 7.0),2020-12-17,2018-07-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016196201218/eng.html
SM-G928G,COM,015977201203,SM-G928G/COM, Colombia (Comcel),Colombia,Comcel,Americas,Latin America and the Caribbean,G928GUBU5CVG6,Nougat(Android 7.0),2022-09-02,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015977201203/eng.html
SM-G928G,COM,015977201203,SM-G928G/COM, Colombia (Comcel),Colombia,Comcel,Americas,Latin America and the Caribbean,G928GUBS5CTJ9,Nougat(Android 7.0),2020-12-02,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015977201203/eng.html
SM-G928G,COO,015430201106,SM-G928G/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,G928GUBU5CVG2,Nougat(Android 7.0),2022-09-13,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015430201106/eng.html
SM-G928G,COO,015430201106,SM-G928G/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,G928GUBS5CTJ2,Nougat(Android 7.0),2020-11-06,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015430201106/eng.html
SM-G928G,CPA,015975201203,SM-G928G/CPA, Panama (Claro),Panama,Claro,Americas,Latin America and the Caribbean,G928GUBU5CVGA,Nougat(Android 7.0),2022-08-25,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015975201203/eng.html
SM-G928G,CPA,015975201203,SM-G928G/CPA, Panama (Claro),Panama,Claro,Americas,Latin America and the Caribbean,G928GUBS5CTK1,Nougat(Android 7.0),2020-12-02,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015975201203/eng.html
SM-G928G,CRM,016214201219,SM-G928G/CRM, South America (Moviestar),South America,Moviestar,,,G928GUBU5CVGB,Nougat(Android 7.0),2022-09-13,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016214201219/eng.html
SM-G928G,CRM,016214201219,SM-G928G/CRM, South America (Moviestar),South America,Moviestar,,,G928GUBS5CTK2,Nougat(Android 7.0),2020-12-18,2018-08-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/016214201219/eng.html
SM-G928G,CTI,015820201126,SM-G928G/CTI, Argentina (Claro),Argentina,Claro,Americas,Latin America and the Caribbean,G928GUBU5CVG4,Nougat(Android 7.0),2022-08-29,2018-07-01,Galaxy S6 edge+ ,https://doc.samsungmobile.com/SM-G928G/015820201126/eng.html
