model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G935U,ACG,004970190409,SM-G935U/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004970190409/eng.html
SM-G935U,AIO,004932190409,SM-G935U/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004932190409/eng.html
SM-G935U,ATT,004912190409,SM-G935U/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004912190409/eng.html
SM-G935U,LRA,005000190410,SM-G935U/LRA, USA (Bluegrass Cellular),USA,Bluegrass Cellular,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-09,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/005000190410/eng.html
SM-G935U,SPR,004936190409,SM-G935U/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004936190409/eng.html
SM-G935U,TFN,004957190409,SM-G935U/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004957190409/eng.html
SM-G935U,TMB,004940190409,SM-G935U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004940190409/eng.html
SM-G935U,TMK,004972190409,SM-G935U/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004972190409/eng.html
SM-G935U,USC,004960190409,SM-G935U/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004960190409/eng.html
SM-G935U,VZW,004965190409,SM-G935U/VZW, USA (Verizon),USA,Verizon,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004965190409/eng.html
SM-G935U,XAA,004963190409,SM-G935U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,G935UUES9CSC2,Oreo(Android 8.0.0),2019-04-08,2019-03-01,Galaxy S7 edge ,https://doc.samsungmobile.com/SM-G935U/004963190409/eng.html
