model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPUCHXE4,S(Android 12),2024-06-05,2023-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPSBHWE1,S(Android 12),2023-05-31,2023-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPSAHWC1,S(Android 12),2023-03-31,2023-02-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPSAHWB1,S(Android 12),2023-02-27,2023-02-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS9HVK2,S(Android 12),2022-12-08,2022-11-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS8HVH2,S(Android 12),2022-09-01,2022-08-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS8HVE1,S(Android 12),2022-05-19,2022-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU8HVC7,S(Android 12),2022-05-02,2022-04-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS8GVA2,S(Android 12),2022-02-22,2022-02-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU8GULD,S(Android 12),2022-02-06,2022-01-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS8FUL3,R(Android 11),2021-12-20,2021-12-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS8FUJ2,R(Android 11),2021-11-19,2021-11-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS8FUJ1,R(Android 11),2021-10-25,2021-10-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU8FUI3,R(Android 11),2021-10-18,2021-09-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS7FUG6,R(Android 11),2021-08-30,2021-08-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU6FUF2,R(Android 11),2021-08-02,2021-07-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS6FUE3,R(Android 11),2021-06-21,2021-06-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU6FUE2,R(Android 11),2021-05-31,2021-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU6FUD1,R(Android 11),2021-05-10,2021-04-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU6FUBH,R(Android 11),2021-03-30,2021-03-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS5EUA4,R(Android 11),2021-02-24,2021-02-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPU5EUA1,R(Android 11),2021-02-08,2021-01-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS5DUA1,Q(Android 10),2021-01-23,2021-01-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS5DTL1,Q(Android 10),2020-12-18,2020-12-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
SM-G977P,SPR,007292190617,SM-G977P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,G977PVPS5DTK1,Q(Android 10),2020-11-19,2020-11-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977P/007292190617/eng.html
