model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVUCHXE3,S(Android 12),2024-06-03,2023-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVUCHWG2,S(Android 12),2023-07-24,2023-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVSBHWE1,S(Android 12),2023-05-15,2023-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVUAHWB5,S(Android 12),2023-03-27,2023-02-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVSAHVL1,S(Android 12),2023-01-03,2022-12-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVU9HVI1,S(Android 12),2022-10-04,2022-09-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVU8HVH1,S(Android 12),2022-08-30,2022-07-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVS8HVD2,S(Android 12),2022-05-18,2022-05-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVU8HVC7,S(Android 12),2022-05-04,2022-04-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVS8GVA2,S(Android 12),2022-02-23,2022-02-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVU8GULD,S(Android 12),2022-02-06,2022-01-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVS8FUL1,R(Android 11),2021-12-23,2021-12-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVS8FUJ2,R(Android 11),2021-11-19,2021-11-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
SM-G977T,TMB,007553190628,SM-G977T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,G977TUVS8FUJ1,R(Android 11),2021-10-23,2021-10-01,Galaxy S10 5G ,https://doc.samsungmobile.com/SM-G977T/007553190628/eng.html
