model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS9GXE1,U(Android 14),2024-05-24,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLU8GXDE,U(Android 14),2024-05-14,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS8FXB3,U(Android 14),2024-03-15,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS8FXA1,U(Android 14),2024-02-23,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS7FWL3,U(Android 14),2024-01-19,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS7FWL1,U(Android 14),2023-12-15,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLU7FWK5,U(Android 14),2023-12-06,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS7EWI1,T(Android 13),2023-10-13,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLU6EWH5,T(Android 13),2023-09-19,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
SM-G990W2,BMC,023344220727,SM-G990W2/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,G990W2VLS6EWH1,T(Android 13),2023-08-28,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990W2/023344220727/eng.html
