model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXUBGXE7,U(Android 14),2024-06-12,2024-05-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXSBGXDH,U(Android 14),2024-05-21,2024-05-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXUAGXDA,U(Android 14),2024-05-13,2024-04-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXSAFXCL,U(Android 14),2024-04-12,2024-04-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9FXBD,U(Android 14),2024-03-20,2024-03-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9FXAH,U(Android 14),2024-02-20,2024-02-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9FWL9,U(Android 14),2024-01-16,2024-01-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9FWKB,U(Android 14),2023-12-18,2023-12-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXU9FWK2,U(Android 14),2023-12-04,2023-11-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9EWJO,T(Android 13),2023-11-09,2023-11-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9EWJG,T(Android 13),2023-10-24,2023-10-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9EWIA,T(Android 13),2023-10-11,2023-10-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9EWI1,T(Android 13),2023-09-15,2023-09-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXU9EWH5,T(Android 13),2023-09-05,2023-08-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9EWH1,T(Android 13),2023-08-11,2023-08-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS9EWF3,T(Android 13),2023-07-10,2023-07-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXU8EWF1,T(Android 13),2023-06-22,2023-06-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS7EWD3,T(Android 13),2023-05-24,2023-05-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXU7EWCH,T(Android 13),2023-04-18,2023-04-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXS6EWBB,T(Android 13),2023-03-11,2023-03-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
SM-G991B,3IE,016983210122,SM-G991B/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,G991BXXU6EWAF,T(Android 13),2023-02-21,2023-02-01,Galaxy S21 5G,https://doc.samsungmobile.com/SM-G991B/016983210122/eng.html
