model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J260FU,CAC,011642200304,SM-J260FU/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,J260FUXXS1AVL2,Oreo(Android 8.1.0),2023-01-17,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011642200304/eng.html
SM-J260FU,CAC,011642200304,SM-J260FU/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,J260FUXXS1AUA1,Oreo(Android 8.1.0),2021-03-10,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011642200304/eng.html
SM-J260FU,CAC,011642200304,SM-J260FU/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,J260FUXXS1ATF3,Oreo(Android 8.1.0),2020-07-29,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011642200304/eng.html
SM-J260FU,CAC,011642200304,SM-J260FU/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,J260FUXXU1ATAK,Oreo(Android 8.1.0),2020-03-03,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011642200304/eng.html
SM-J260FU,CAU,011656200304,SM-J260FU/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,J260FUXXS1AVL2,Oreo(Android 8.1.0),2023-01-16,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011656200304/eng.html
SM-J260FU,CAU,011656200304,SM-J260FU/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,J260FUXXS1AUA1,Oreo(Android 8.1.0),2021-03-10,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011656200304/eng.html
SM-J260FU,CAU,011656200304,SM-J260FU/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,J260FUXXS1ATF3,Oreo(Android 8.1.0),2020-07-29,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011656200304/eng.html
SM-J260FU,CAU,011656200304,SM-J260FU/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,J260FUXXU1ATAK,Oreo(Android 8.1.0),2020-03-03,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011656200304/eng.html
SM-J260FU,SER,011629200304,SM-J260FU/SER, Russia,Russia,No-carrier,Europe,Eastern Europe,J260FUPUS1AVL3,Oreo(Android 8.1.0),2023-01-17,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011629200304/eng.html
SM-J260FU,SER,011629200304,SM-J260FU/SER, Russia,Russia,No-carrier,Europe,Eastern Europe,J260FUPUS1ATF3,Oreo(Android 8.1.0),2020-08-01,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011629200304/eng.html
SM-J260FU,SER,011629200304,SM-J260FU/SER, Russia,Russia,No-carrier,Europe,Eastern Europe,J260FUPUU1ATAK,Oreo(Android 8.1.0),2020-03-03,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260FU/011629200304/eng.html
