model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J260MU,ARO,012544200602,SM-J260MU/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AVK1,Oreo(Android 8.1.0),2022-12-28,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012544200602/eng.html
SM-J260MU,ARO,012544200602,SM-J260MU/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AUA3,Oreo(Android 8.1.0),2021-03-05,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012544200602/eng.html
SM-J260MU,ARO,012544200602,SM-J260MU/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATK1,Oreo(Android 8.1.0),2020-11-16,2020-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012544200602/eng.html
SM-J260MU,ARO,012544200602,SM-J260MU/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATH1,Oreo(Android 8.1.0),2020-08-07,2020-08-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012544200602/eng.html
SM-J260MU,ARO,012544200602,SM-J260MU/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUUBU1ATE4,Oreo(Android 8.1.0),2020-06-01,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012544200602/eng.html
SM-J260MU,BVO,012712200612,SM-J260MU/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AVK1,Oreo(Android 8.1.0),2022-12-28,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012712200612/eng.html
SM-J260MU,BVO,012712200612,SM-J260MU/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AUA3,Oreo(Android 8.1.0),2021-03-05,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012712200612/eng.html
SM-J260MU,BVO,012712200612,SM-J260MU/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATK1,Oreo(Android 8.1.0),2020-11-16,2020-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012712200612/eng.html
SM-J260MU,BVO,012712200612,SM-J260MU/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATH1,Oreo(Android 8.1.0),2020-08-07,2020-08-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012712200612/eng.html
SM-J260MU,BVO,012712200612,SM-J260MU/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBU1ATE4,Oreo(Android 8.1.0),2020-06-12,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012712200612/eng.html
SM-J260MU,BVT,012471200526,SM-J260MU/BVT, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AVL1,Oreo(Android 8.1.0),2022-12-28,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012471200526/eng.html
SM-J260MU,BVT,012471200526,SM-J260MU/BVT, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AUB2,Oreo(Android 8.1.0),2021-03-17,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012471200526/eng.html
SM-J260MU,BVT,012471200526,SM-J260MU/BVT, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATK2,Oreo(Android 8.1.0),2020-11-19,2020-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012471200526/eng.html
SM-J260MU,BVT,012471200526,SM-J260MU/BVT, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATH2,Oreo(Android 8.1.0),2020-08-18,2020-08-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012471200526/eng.html
SM-J260MU,BVT,012471200526,SM-J260MU/BVT, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATG2,Oreo(Android 8.1.0),2020-06-27,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012471200526/eng.html
SM-J260MU,BVT,012471200526,SM-J260MU/BVT, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATE5,Oreo(Android 8.1.0),2020-05-25,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012471200526/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AVK1,Oreo(Android 8.1.0),2022-12-28,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AUA3,Oreo(Android 8.1.0),2021-01-30,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATK1,Oreo(Android 8.1.0),2020-11-16,2020-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATI1,Oreo(Android 8.1.0),2020-09-11,2020-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATG1,Oreo(Android 8.1.0),2020-07-14,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBU1ATE4,Oreo(Android 8.1.0),2020-06-08,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CDR,012177200417,SM-J260MU/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1ATD1,Oreo(Android 8.1.0),2020-04-16,2020-04-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012177200417/eng.html
SM-J260MU,CGU,012848200625,SM-J260MU/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,J260MUUBS1AVK2,Oreo(Android 8.1.0),2022-12-28,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012848200625/eng.html
SM-J260MU,CGU,012848200625,SM-J260MU/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,J260MUUBS1AUB1,Oreo(Android 8.1.0),2021-04-01,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012848200625/eng.html
SM-J260MU,CGU,012848200625,SM-J260MU/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,J260MUUBS1ATK3,Oreo(Android 8.1.0),2020-12-09,2020-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012848200625/eng.html
SM-J260MU,CGU,012848200625,SM-J260MU/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,J260MUUBS1ATH3,Oreo(Android 8.1.0),2020-08-18,2020-08-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012848200625/eng.html
SM-J260MU,CGU,012848200625,SM-J260MU/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,J260MUUBS1ATE6,Oreo(Android 8.1.0),2020-06-25,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012848200625/eng.html
SM-J260MU,CHO,012521200529,SM-J260MU/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,J260MUUBS1AVK1,Oreo(Android 8.1.0),2022-12-28,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260MU/012521200529/eng.html
