model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDAUJ2,Oreo(Android 8.1.0),2021-12-28,2021-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDAUD9,Oreo(Android 8.1.0),2021-06-16,2021-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDATL2,Oreo(Android 8.1.0),2021-01-18,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBUBATG7,Oreo(Android 8.1.0),2020-08-18,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBSBATE7,Oreo(Android 8.1.0),2020-06-09,2020-06-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBS9ATC7,Oreo(Android 8.1.0),2020-04-01,2020-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBS7ASK9,Oreo(Android 8.1.0),2019-12-05,2019-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBS6ASHB,Oreo(Android 8.1.0),2019-10-07,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBU4ASF1,Oreo(Android 8.1.0),2019-07-16,2019-06-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBS3ASB5,Oreo(Android 8.1.0),2019-03-21,2019-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBS2ARJ8,Oreo(Android 8.1.0),2018-12-22,2018-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ALE,002059181025,SM-J260M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J260MUBU1ARI3,Oreo(Android 8.1.0),2018-10-25,2018-08-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002059181025/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDAUJ2,Oreo(Android 8.1.0),2021-11-16,2021-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDAUD9,Oreo(Android 8.1.0),2021-06-16,2021-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDATL2,Oreo(Android 8.1.0),2021-01-27,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBUBATG7,Oreo(Android 8.1.0),2020-08-24,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSBATE7,Oreo(Android 8.1.0),2020-07-06,2020-06-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBS9ATC7,Oreo(Android 8.1.0),2020-03-20,2020-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBS7ASK9,Oreo(Android 8.1.0),2019-12-05,2019-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBS6ASHB,Oreo(Android 8.1.0),2019-10-08,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ANC,007734190711,SM-J260M/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBU4ASF1,Oreo(Android 8.1.0),2019-07-11,2019-06-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/007734190711/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDAUJ4,Oreo(Android 8.1.0),2021-11-12,2021-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDAUD8,Oreo(Android 8.1.0),2021-05-25,2021-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSDATL3,Oreo(Android 8.1.0),2021-01-05,2020-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBUBATG6,Oreo(Android 8.1.0),2020-07-23,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBSAATD7,Oreo(Android 8.1.0),2020-05-11,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBS9ATA1,Oreo(Android 8.1.0),2020-02-19,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBS7ASJ6,Oreo(Android 8.1.0),2019-11-13,2019-11-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBU6ASH8,Oreo(Android 8.1.0),2019-09-27,2019-08-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
SM-J260M,ARO,002044181024,SM-J260M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J260MUBS4ASF2,Oreo(Android 8.1.0),2019-06-21,2019-06-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260M/002044181024/eng.html
