model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS9AVK3,Oreo(Android 8.1.0),2023-01-03,2021-08-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS9AUG1,Oreo(Android 8.1.0),2022-04-09,2021-07-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS9AUG1,Oreo(Android 8.1.0),2021-07-23,2021-07-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS8AUD1,Oreo(Android 8.1.0),2021-05-14,2021-04-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS8AUA1,Oreo(Android 8.1.0),2021-01-23,2021-01-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS7ATJ1,Oreo(Android 8.1.0),2020-11-02,2020-10-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS6ATG2,Oreo(Android 8.1.0),2020-07-27,2020-07-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS5ATD1,Oreo(Android 8.1.0),2020-05-30,2020-04-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS4ATA1,Oreo(Android 8.1.0),2020-02-03,2020-01-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS3ASI2,Oreo(Android 8.1.0),2019-10-18,2019-10-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS3ASG1,Oreo(Android 8.1.0),2019-07-25,2019-07-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVS2ASD4,Oreo(Android 8.1.0),2019-04-27,2019-04-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
SM-J260T1,TMK,002959190223,SM-J260T1/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,J260T1UVU1ASA3,Oreo(Android 8.1.0),2019-02-23,2019-01-01,Galaxy J2 ,https://doc.samsungmobile.com/SM-J260T1/002959190223/eng.html
