model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J327W,BMC,007693190709,SM-J327W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-08,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007693190709/eng.html
SM-J327W,BWA,007704190709,SM-J327W/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-08,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007704190709/eng.html
SM-J327W,CHR,007621190703,SM-J327W/CHR, Canada (Chatr Mobile),Canada,Chatr Mobile,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-02,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007621190703/eng.html
SM-J327W,FMC,007626190703,SM-J327W/FMC, Canada (Fido Mobile),Canada,Fido Mobile,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-02,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007626190703/eng.html
SM-J327W,KDO,007618190703,SM-J327W/KDO, Canada (Koodo Mobile),Canada,Koodo Mobile,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-02,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007618190703/eng.html
SM-J327W,MTB,007695190709,SM-J327W/MTB, Canada (Belarus),Canada,Belarus,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-08,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007695190709/eng.html
SM-J327W,RWC,007612190703,SM-J327W/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-02,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007612190703/eng.html
SM-J327W,TLS,007610190703,SM-J327W/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-02,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007610190703/eng.html
SM-J327W,VMC,007691190709,SM-J327W/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-08,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007691190709/eng.html
SM-J327W,VTR,007613190703,SM-J327W/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-02,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007613190703/eng.html
SM-J327W,XAC,007686190709,SM-J327W/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,J327WVLU3BSF1,Oreo(Android 8.1.0),2019-07-08,2019-06-01,Galaxy J3 Prime ,https://doc.samsungmobile.com/SM-J327W/007686190709/eng.html
