model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU4CUE2,Pie(Android 9),2021-06-18,2020-12-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCS4CUE1,Pie(Android 9),2021-05-18,2020-12-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCS4CUD1,Pie(Android 9),2021-04-26,2020-12-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU4CTL1,Pie(Android 9),2020-12-21,2020-11-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU4CTK1,Pie(Android 9),2020-12-16,2020-11-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCS4CTG1,Pie(Android 9),2020-08-14,2020-08-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCS3CTC1,Pie(Android 9),2020-04-27,2020-03-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU3CSK4,Pie(Android 9),2019-12-17,2019-09-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU3CSK2,Pie(Android 9),2019-11-15,2019-09-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU3CSI1,Pie(Android 9),2019-09-23,2019-08-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCS3BSD1,Oreo(Android 8.1.0),2019-06-17,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCS2BSA2,Oreo(Android 8.1.0),2019-04-02,2019-01-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU2BRJ2,Oreo(Android 8.1.0),2018-10-31,2018-10-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
SM-J3300,CHC,000110171018,SM-J3300/CHC, China (Open China),China,Open China,Asia,Eastern Asia,J3300ZCU2ARH1,Nougat(Android 7.1.1),2018-09-04,2018-08-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J3300/000110171018/eng.html
