model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J330FN,3IE,005741190501,SM-J330FN/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-01,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/005741190501/eng.html
SM-J330FN,AMO,005799190502,SM-J330FN/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,J330FNXXS3BSD5,Oreo(Android 8.0.0),2019-05-02,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/005799190502/eng.html
SM-J330FN,ATL,006435190523,SM-J330FN/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,J330FNXXU3BSC2,Oreo(Android 8.0.0),2019-05-23,2019-02-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006435190523/eng.html
SM-J330FN,BGL,007402190621,SM-J330FN/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,J330FNXXS3BSE2,Oreo(Android 8.0.0),2019-06-21,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007402190621/eng.html
SM-J330FN,BHT,007515190626,SM-J330FN/BHT, Bosnia and Herzegovina (BH TELECOM),Bosnia and Herzegovina,BH TELECOM,Europe,Southern Europe,J330FNXXS3BSE2,Oreo(Android 8.0.0),2019-06-25,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007515190626/eng.html
SM-J330FN,BOG,004053190325,SM-J330FN/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,J330FNXXU3BRL2,Oreo(Android 8.0.0),2019-03-25,2019-01-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/004053190325/eng.html
SM-J330FN,BTU,005370190422,SM-J330FN/BTU, United Kingdom,United Kingdom,No-carrier,Europe,Northern Europe,J330FNXXS3BSD1,Oreo(Android 8.0.0),2019-04-21,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/005370190422/eng.html
SM-J330FN,CNX,006423190523,SM-J330FN/CNX, Romania (Vodafone),Romania,Vodafone,Europe,Eastern Europe,J330FNXXU3BSC2,Oreo(Android 8.0.0),2019-05-23,2019-02-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006423190523/eng.html
SM-J330FN,COS,006230190517,SM-J330FN/COS, Greece (Cosmote),Greece,Cosmote,Europe,Southern Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-16,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006230190517/eng.html
SM-J330FN,CRO,006250190517,SM-J330FN/CRO, Croatia (T-Mobile),Croatia,T-Mobile,Europe,Southern Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-16,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006250190517/eng.html
SM-J330FN,CYV,006433190523,SM-J330FN/CYV, Cyprus (Vodafone),Cyprus,Vodafone,Asia,Western Asia,J330FNXXU3BSC2,Oreo(Android 8.0.0),2019-05-23,2019-02-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006433190523/eng.html
SM-J330FN,DDE,006227190517,SM-J330FN/DDE, Germany (Congstar),Germany,Congstar,Europe,Western Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-16,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006227190517/eng.html
SM-J330FN,DHR,006232190517,SM-J330FN/DHR, Croatia (Bonbon),Croatia,Bonbon,Europe,Southern Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-16,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006232190517/eng.html
SM-J330FN,DTM,006247190517,SM-J330FN/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-16,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006247190517/eng.html
SM-J330FN,ERO,007478190625,SM-J330FN/ERO, Bosnia and Herzegovina,Bosnia and Herzegovina,No-carrier,Europe,Southern Europe,J330FNXXS3BSE2,Oreo(Android 8.0.0),2019-06-25,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007478190625/eng.html
SM-J330FN,EUR,007429190621,SM-J330FN/EUR, Greece,Greece,No-carrier,Europe,Southern Europe,J330FNXXS3BSE2,Oreo(Android 8.0.0),2019-06-21,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007429190621/eng.html
SM-J330FN,FTM,005769190502,SM-J330FN/FTM, France (Orange),France,Orange,Europe,Western Europe,J330FNXXS3BSD5,Oreo(Android 8.0.0),2019-05-02,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/005769190502/eng.html
SM-J330FN,H3G,005734190501,SM-J330FN/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-01,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/005734190501/eng.html
SM-J330FN,HUI,006458190524,SM-J330FN/HUI, Italy (H3G),Italy,H3G,Europe,Southern Europe,J330FNXXU3BRL2,Oreo(Android 8.0.0),2019-05-23,2019-01-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006458190524/eng.html
SM-J330FN,ITV,005384190422,SM-J330FN/ITV, Italy,Italy,No-carrier,Europe,Southern Europe,J330FNXXS3BSD1,Oreo(Android 8.0.0),2019-04-21,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/005384190422/eng.html
SM-J330FN,MBM,006229190517,SM-J330FN/MBM, Macedonia (T-Mobile),Macedonia,T-Mobile,Europe,Southern Europe,J330FNXXS3BSD3,Oreo(Android 8.0.0),2019-05-16,2019-04-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006229190517/eng.html
SM-J330FN,MEO,007483190625,SM-J330FN/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,J330FNXXS3BSE1,Oreo(Android 8.0.0),2019-06-24,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007483190625/eng.html
SM-J330FN,MET,006998190605,SM-J330FN/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,J330FNXXU3BRL2,Oreo(Android 8.0.0),2019-06-04,2019-01-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/006998190605/eng.html
SM-J330FN,MOT,007394190621,SM-J330FN/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,J330FNXXS3BSE2,Oreo(Android 8.0.0),2019-06-21,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007394190621/eng.html
SM-J330FN,MSR,007405190621,SM-J330FN/MSR, Serbia (Telenor),Serbia,Telenor,Europe,Southern Europe,J330FNXXS3BSE2,Oreo(Android 8.0.0),2019-06-21,2019-06-01,Galaxy J3 ,https://doc.samsungmobile.com/SM-J330FN/007405190621/eng.html
