model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVSAAVL2,Oreo(Android 8.0.0),2023-01-18,2021-01-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVSAAUB2,Oreo(Android 8.0.0),2022-04-09,2021-01-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVSAAUB2,Oreo(Android 8.0.0),2021-03-10,2021-01-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS9ATH1,Oreo(Android 8.0.0),2020-08-22,2020-08-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS8ATE1,Oreo(Android 8.0.0),2020-05-27,2020-05-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS7ATA1,Oreo(Android 8.0.0),2020-02-21,2020-02-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS6ASK2,Oreo(Android 8.0.0),2019-11-23,2019-11-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS5ASH2,Oreo(Android 8.0.0),2019-08-29,2019-08-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS4ASD1,Oreo(Android 8.0.0),2019-05-25,2019-05-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS3ASB1,Oreo(Android 8.0.0),2019-02-25,2019-02-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVU2ARJ6,Oreo(Android 8.0.0),2018-11-17,2018-11-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
SM-J337T,TMB,001203180820,SM-J337T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,J337TUVS2ARG1,Oreo(Android 8.0.0),2018-08-17,2018-08-01,Galaxy J3 Top ,https://doc.samsungmobile.com/SM-J337T/001203180820/eng.html
