model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1AVK1,Oreo(Android 8.1.0),2022-12-07,2020-12-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1AUE1,Oreo(Android 8.1.0),2021-06-10,2020-12-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1ATL1,Oreo(Android 8.1.0),2020-12-17,2020-12-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBU1ATI3,Oreo(Android 8.1.0),2020-09-25,2020-09-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1ATG3,Oreo(Android 8.1.0),2020-07-11,2020-07-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1ATD3,Oreo(Android 8.1.0),2020-04-02,2020-04-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1ATBA,Oreo(Android 8.1.0),2020-02-19,2020-02-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1ASK4,Oreo(Android 8.1.0),2019-11-20,2019-11-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBU1ASH3,Oreo(Android 8.1.0),2019-09-02,2019-08-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
SM-J410G,ARO,002883190209,SM-J410G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J410GUBS1ASF9,Oreo(Android 8.1.0),2019-07-16,2019-06-01,Galaxy J4 Core ,https://doc.samsungmobile.com/SM-J410G/002883190209/eng.html
