model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J510MN,ANC,007676190706,SM-J510MN/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF1,Nougat(Android 7.1.1),2019-07-06,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007676190706/eng.html
SM-J510MN,ARO,007554190628,SM-J510MN/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSE2,Nougat(Android 7.1.1),2019-06-27,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007554190628/eng.html
SM-J510MN,BVO,007729190711,SM-J510MN/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF1,Nougat(Android 7.1.1),2019-07-11,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007729190711/eng.html
SM-J510MN,CHE,007903190721,SM-J510MN/CHE, Chile (Entel PCS),Chile,Entel PCS,Americas,Latin America and the Caribbean,J510MNUBU3BSE1,Nougat(Android 7.1.1),2019-07-20,2019-05-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007903190721/eng.html
SM-J510MN,CHL,007510190626,SM-J510MN/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,J510MNUBU3BSE1,Nougat(Android 7.1.1),2019-06-25,2019-05-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007510190626/eng.html
SM-J510MN,CHO,007745190712,SM-J510MN/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF2,Nougat(Android 7.1.1),2019-07-12,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007745190712/eng.html
SM-J510MN,CHT,007703190709,SM-J510MN/CHT, Chile (Telefonica),Chile,Telefonica,Americas,Latin America and the Caribbean,J510MNUBS3BSF4,Nougat(Android 7.1.1),2019-07-08,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007703190709/eng.html
SM-J510MN,CHX,005132190414,SM-J510MN/CHX, Chile (Nextel),Chile,Nextel,Americas,Latin America and the Caribbean,J510MNUBU3BSC1,Nougat(Android 7.1.1),2019-04-13,2019-03-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/005132190414/eng.html
SM-J510MN,COO,007761190714,SM-J510MN/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,J510MNVJS3BSF1,Nougat(Android 7.1.1),2019-07-13,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007761190714/eng.html
SM-J510MN,CPA,005493190424,SM-J510MN/CPA, Panama (Claro),Panama,Claro,Americas,Latin America and the Caribbean,J510MNUBS3BSC3,Nougat(Android 7.1.1),2019-04-24,2019-03-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/005493190424/eng.html
SM-J510MN,DOO,007747190712,SM-J510MN/DOO, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF2,Nougat(Android 7.1.1),2019-07-12,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007747190712/eng.html
SM-J510MN,ECO,007733190711,SM-J510MN/ECO, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF3,Nougat(Android 7.1.1),2019-07-11,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007733190711/eng.html
SM-J510MN,EON,007727190711,SM-J510MN/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF1,Nougat(Android 7.1.1),2019-07-11,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007727190711/eng.html
SM-J510MN,JDI,007651190705,SM-J510MN/JDI, Jamaica,Jamaica,No-carrier,Americas,Latin America and the Caribbean,J510MNUBU3BSE1,Nougat(Android 7.1.1),2019-07-05,2019-05-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007651190705/eng.html
SM-J510MN,PNT,005245190417,SM-J510MN/PNT, Peru (Nextel),Peru,Nextel,Americas,Latin America and the Caribbean,J510MNUBS3BSC4,Nougat(Android 7.1.1),2019-04-17,2019-03-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/005245190417/eng.html
SM-J510MN,TCE,007726190711,SM-J510MN/TCE, Mexico (Telcel),Mexico,Telcel,Americas,Latin America and the Caribbean,J510MNVJS3BSF4,Nougat(Android 7.1.1),2019-07-10,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007726190711/eng.html
SM-J510MN,TMM,003890190321,SM-J510MN/TMM, Mexico (Movistar),Mexico,Movistar,Americas,Latin America and the Caribbean,J510MNVJS2BSA2,Nougat(Android 7.1.1),2019-03-21,2019-01-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/003890190321/eng.html
SM-J510MN,TPA,007742190712,SM-J510MN/TPA, Panama,Panama,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF2,Nougat(Android 7.1.1),2019-07-12,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007742190712/eng.html
SM-J510MN,TTT,007749190712,SM-J510MN/TTT, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF2,Nougat(Android 7.1.1),2019-07-12,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007749190712/eng.html
SM-J510MN,UYO,007743190712,SM-J510MN/UYO, Uruguay,Uruguay,No-carrier,Americas,Latin America and the Caribbean,J510MNUBS3BSF2,Nougat(Android 7.1.1),2019-07-12,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007743190712/eng.html
SM-J510MN,ZTA,006719190529,SM-J510MN/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J510MNVJU3BSE1,Nougat(Android 7.1.1),2019-05-28,2019-05-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/006719190529/eng.html
SM-J510MN,ZTM,010551200123,SM-J510MN/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J510MNVJS3BTI1,Nougat(Android 7.1.1),2020-11-07,2019-10-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/010551200123/eng.html
SM-J510MN,ZTO,007762190714,SM-J510MN/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,J510MNVJS3BSF1,Nougat(Android 7.1.1),2019-07-13,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007762190714/eng.html
SM-J510MN,ZTR,007770190716,SM-J510MN/ZTR, Brazil (Oi),Brazil,Oi,Americas,Latin America and the Caribbean,J510MNVJS3BSF3,Nougat(Android 7.1.1),2019-07-16,2019-06-01,Galaxy J5 ⑥ ,https://doc.samsungmobile.com/SM-J510MN/007770190716/eng.html
