model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDS7CVB1,Q(Android 10),2022-04-04,2022-02-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU7CUL1,Q(Android 10),2021-12-28,2021-08-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU7CUF1,Q(Android 10),2021-07-13,2021-05-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU6CTL1,Q(Android 10),2020-12-23,2020-10-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDS5CTI1,Q(Android 10),2020-09-28,2020-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU4CTF4,Q(Android 10),2020-07-01,2020-06-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU4BTA5,Pie(Android 9),2020-02-15,2020-02-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU2BSI2,Pie(Android 9),2019-10-16,2019-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU2BSH3,Pie(Android 9),2019-09-02,2019-08-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU1BSD9,Pie(Android 9),2019-04-20,2019-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU1ASA2,Oreo(Android 8.0.0),2019-02-19,2019-01-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU1ARL1,Oreo(Android 8.0.0),2018-12-20,2018-12-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU1ARI5,Oreo(Android 8.0.0),2018-10-19,2018-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU1ARI2,Oreo(Android 8.0.0),2018-09-16,2018-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
SM-J600GF,INS,001046180802,SM-J600GF/INS, India,India,No-carrier,Asia,Southern Asia,J600GFDDU1ARG3,Oreo(Android 8.0.0),2018-08-01,2018-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GF/001046180802/eng.html
