model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJSACVD1,Q(Android 10),2022-05-05,2022-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJUACUH1,Q(Android 10),2021-09-15,2021-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJUACUG2,Q(Android 10),2021-08-10,2021-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJUACUD1,Q(Android 10),2021-06-01,2021-04-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJSACUC1,Q(Android 10),2021-04-15,2021-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU9CTJ2,Q(Android 10),2020-11-04,2020-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS9CTI1,Q(Android 10),2020-09-28,2020-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS8CTH3,Q(Android 10),2020-08-27,2020-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU8CTF4,Q(Android 10),2020-08-18,2020-06-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS8BTF1,Pie(Android 9),2020-06-27,2020-06-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS7BTC1,Pie(Android 9),2020-04-25,2020-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU7BTB2,Pie(Android 9),2020-03-11,2020-02-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS6BTA1,Pie(Android 9),2020-01-24,2020-01-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS6BSL1,Pie(Android 9),2019-12-20,2019-12-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS5BSJ1,Pie(Android 9),2019-10-24,2019-10-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS5BSI1,Pie(Android 9),2019-10-05,2019-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS5BSH2,Pie(Android 9),2019-08-22,2019-08-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS5BSG3,Pie(Android 9),2019-08-06,2019-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU4BSF2,Pie(Android 9),2019-06-29,2019-06-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU3BSD7,Pie(Android 9),2019-06-01,2019-04-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS3ASC1,Oreo(Android 8.0.0),2019-03-25,2019-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS3ASA4,Oreo(Android 8.0.0),2019-02-13,2019-01-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJS3ARK1,Oreo(Android 8.0.0),2018-12-13,2018-11-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU3ARH3,Oreo(Android 8.0.0),2018-10-28,2018-08-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTA,001892180921,SM-J600GT/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,J600GTVJU2ARG2,Oreo(Android 8.0.0),2018-09-21,2018-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001892180921/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJSACVD1,Q(Android 10),2022-05-20,2022-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJUACUH1,Q(Android 10),2021-09-23,2021-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJUACUG2,Q(Android 10),2021-08-13,2021-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJUACUD1,Q(Android 10),2021-06-01,2021-04-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJSACUC1,Q(Android 10),2021-04-29,2021-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU9CTJ2,Q(Android 10),2020-11-08,2020-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJS8CTF1,Q(Android 10),2020-06-24,2020-06-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU7CTC8,Q(Android 10),2020-05-06,2020-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU7BTB2,Pie(Android 9),2020-03-04,2020-02-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJS6BSL5,Pie(Android 9),2020-01-07,2019-12-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJS5BSH3,Pie(Android 9),2019-12-18,2019-08-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU3BSD9,Pie(Android 9),2019-08-08,2019-04-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU3ASA1,Oreo(Android 8.0.0),2019-03-14,2019-01-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU3ARH3,Oreo(Android 8.0.0),2018-10-02,2018-08-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTM,001132180814,SM-J600GT/ZTM, Brazil (TIM),Brazil,TIM,Americas,Latin America and the Caribbean,J600GTVJU2ARG1,Oreo(Android 8.0.0),2018-08-14,2018-07-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/001132180814/eng.html
SM-J600GT,ZTO,000980180723,SM-J600GT/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,J600GTVJSACVD1,Q(Android 10),2022-04-27,2022-03-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/000980180723/eng.html
SM-J600GT,ZTO,000980180723,SM-J600GT/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,J600GTVJUACUH1,Q(Android 10),2021-09-15,2021-09-01,Galaxy J6 ,https://doc.samsungmobile.com/SM-J600GT/000980180723/eng.html
