model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J700H,CAC,023416220804,SM-J700H/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,J700HXXU3BVH1,Marshmallow(Android 6.0.1),2022-08-26,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023416220804/eng.html
SM-J700H,CAC,023416220804,SM-J700H/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,J700HXXU3BVG2,Marshmallow(Android 6.0.1),2022-08-04,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023416220804/eng.html
SM-J700H,CAU,023414220804,SM-J700H/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,J700HXXU3BVH1,Marshmallow(Android 6.0.1),2022-08-26,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023414220804/eng.html
SM-J700H,CAU,023414220804,SM-J700H/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,J700HXXU3BVG2,Marshmallow(Android 6.0.1),2022-08-04,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023414220804/eng.html
SM-J700H,SEK,023437220804,SM-J700H/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,J700HXXU3BVH1,Marshmallow(Android 6.0.1),2022-08-26,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023437220804/eng.html
SM-J700H,SEK,023437220804,SM-J700H/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,J700HXXU3BVG2,Marshmallow(Android 6.0.1),2022-08-04,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023437220804/eng.html
SM-J700H,SER,023413220804,SM-J700H/SER, Russia,Russia,No-carrier,Europe,Eastern Europe,J700HXXU3BVH1,Marshmallow(Android 6.0.1),2022-08-26,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023413220804/eng.html
SM-J700H,SER,023413220804,SM-J700H/SER, Russia,Russia,No-carrier,Europe,Eastern Europe,J700HXXU3BVG2,Marshmallow(Android 6.0.1),2022-08-04,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023413220804/eng.html
SM-J700H,SKZ,023415220804,SM-J700H/SKZ, Kazakhstan,Kazakhstan,No-carrier,Asia,Central Asia,J700HXXU3BVH1,Marshmallow(Android 6.0.1),2022-08-26,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023415220804/eng.html
SM-J700H,SKZ,023415220804,SM-J700H/SKZ, Kazakhstan,Kazakhstan,No-carrier,Asia,Central Asia,J700HXXU3BVG2,Marshmallow(Android 6.0.1),2022-08-04,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023415220804/eng.html
SM-J700H,XXV,023402220804,SM-J700H/XXV, Vietnam,Vietnam,No-carrier,Asia,South-eastern Asia,J700HXXU3BVH1,Marshmallow(Android 6.0.1),2022-09-04,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023402220804/eng.html
SM-J700H,XXV,023402220804,SM-J700H/XXV, Vietnam,Vietnam,No-carrier,Asia,South-eastern Asia,J700HXXU3BVG2,Marshmallow(Android 6.0.1),2022-08-03,2017-08-01,Galaxy J7 ,https://doc.samsungmobile.com/SM-J700H/023402220804/eng.html
