model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXUCCWD2,Pie(Android 9),2023-05-09,2021-05-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXUCCUE2,Pie(Android 9),2021-07-09,2021-05-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXSCCUD2,Pie(Android 9),2021-04-23,2021-03-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXSCCUC1,Pie(Android 9),2021-03-22,2021-02-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXSBCTH3,Pie(Android 9),2020-09-14,2020-09-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXSACTD1,Pie(Android 9),2020-04-29,2020-04-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXU8CSK1,Pie(Android 9),2020-02-05,2019-11-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXU7CSI1,Pie(Android 9),2019-10-14,2019-09-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXU7CSG3,Pie(Android 9),2019-08-22,2019-07-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXU6CSF5,Pie(Android 9),2019-07-05,2019-05-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXS6BSD1,Oreo(Android 8.1.0),2019-04-23,2019-04-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXU5BSA3,Oreo(Android 8.1.0),2019-03-25,2019-01-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
SM-J730GM,BRI,000038170710,SM-J730GM/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,J730GMDXU5BRK3,Oreo(Android 8.1.0),2018-11-23,2018-11-01,Galaxy J7 Pro ,https://doc.samsungmobile.com/SM-J730GM/000038170710/eng.html
