model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPSABUI1,Pie(Android 9),2021-10-26,2021-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPS9BUD2,Pie(Android 9),2021-04-30,2021-04-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPU8BTK1,Pie(Android 9),2020-12-10,2020-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPU7BTE1,Pie(Android 9),2020-06-24,2020-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPS6BTC1,Pie(Android 9),2020-03-26,2020-03-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPS5BTA3,Pie(Android 9),2020-01-16,2020-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPU4BSJ2,Pie(Android 9),2019-10-24,2019-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPS4BSI5,Pie(Android 9),2019-09-24,2019-09-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPU3BSF6,Pie(Android 9),2019-07-22,2019-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPS3ASC2,Oreo(Android 8.0.0),2019-04-12,2019-04-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPS2ASA1,Oreo(Android 8.0.0),2019-01-18,2019-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPU2ARJ2,Oreo(Android 8.0.0),2018-10-26,2018-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
SM-J737P,SPR,000833180620,SM-J737P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,J737PVPU1ARG3,Oreo(Android 8.0.0),2018-08-08,2018-07-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737P/000833180620/eng.html
