model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYSBBUI1,Pie(Android 9),2021-10-27,2021-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYSABUD1,Pie(Android 9),2021-04-27,2021-04-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYU9BTJ2,Pie(Android 9),2020-11-23,2020-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS8BTE1,Pie(Android 9),2020-06-09,2020-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS7BTC1,Pie(Android 9),2020-03-24,2020-03-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYU6BTA1,Pie(Android 9),2020-02-04,2020-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS6BSL1,Pie(Android 9),2019-12-31,2019-12-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS5BSJ1,Pie(Android 9),2019-10-25,2019-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS4BSH3,Pie(Android 9),2019-08-23,2019-08-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYU4BSF2,Pie(Android 9),2019-07-16,2019-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS4ASE1,Oreo(Android 8.0.0),2019-05-22,2019-05-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS3ASC1,Oreo(Android 8.0.0),2019-04-03,2019-03-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS2ARL1,Oreo(Android 8.0.0),2019-01-16,2019-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS2ARJ3,Oreo(Android 8.0.0),2018-11-13,2018-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYU1ARJ1,Oreo(Android 8.0.0),2018-11-05,2018-08-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
SM-J737R4,USC,001622180906,SM-J737R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,J737R4TYS1ARH1,Oreo(Android 8.0.0),2018-09-05,2018-08-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737R4/001622180906/eng.html
