model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUESABUI1,Pie(Android 9),2021-09-23,2021-09-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUESABUD3,Pie(Android 9),2021-04-29,2021-04-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES9BTI1,Pie(Android 9),2020-10-10,2020-10-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUEU8BTG1,Pie(Android 9),2020-08-22,2020-08-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES7BTF3,Pie(Android 9),2020-07-09,2020-07-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES6BTE2,Pie(Android 9),2020-05-26,2020-05-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES5BTC2,Pie(Android 9),2020-03-26,2020-03-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES4BTA1,Pie(Android 9),2020-01-14,2020-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES4BSK1,Pie(Android 9),2019-11-15,2019-11-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUEU3BSI2,Pie(Android 9),2019-10-23,2019-09-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUES3ASD2,Oreo(Android 8.0.0),2019-05-08,2019-04-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,PCT,004294190329,SM-J737U/PCT, Puerto Rico,Puerto Rico,No-carrier,Americas,Latin America and the Caribbean,J737UUEU2ASA1,Oreo(Android 8.0.0),2019-03-29,2019-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/004294190329/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUESBBUL2,Pie(Android 9),2022-04-20,2021-12-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUESBBUL2,Pie(Android 9),2022-01-05,2021-12-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUEUABUI4,Pie(Android 9),2021-10-19,2021-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUESABUE1,Pie(Android 9),2021-06-21,2021-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUES9BTK1,Pie(Android 9),2020-12-18,2020-12-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUES6BTF1,Pie(Android 9),2020-06-18,2020-06-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUEU5BTB1,Pie(Android 9),2020-03-30,2020-03-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
SM-J737U,XAA,001744180917,SM-J737U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,J737UUES4BSL1,Pie(Android 9),2020-01-28,2020-01-01,Galaxy J7 Top ,https://doc.samsungmobile.com/SM-J737U/001744180917/eng.html
