model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU6CVA1,Q(Android 10),2022-03-23,2021-12-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXS5CUD1,Q(Android 10),2021-05-27,2021-04-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU4CUC1,Q(Android 10),2021-04-27,2021-01-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU4CTG2,Q(Android 10),2020-07-25,2020-07-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU4BTF2,Pie(Android 9),2020-06-29,2020-05-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU4BSL1,Pie(Android 9),2020-02-01,2020-01-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU4BSJ1,Pie(Android 9),2019-11-27,2019-10-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXS4BSH1,Pie(Android 9),2019-08-30,2019-07-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXU3BSD6,Pie(Android 9),2019-05-10,2019-04-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
SM-J810F,ACR,001652180911,SM-J810F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,J810FJXS3ASC1,Oreo(Android 8.0.0),2019-04-16,2019-02-01,Galaxy J8 ,https://doc.samsungmobile.com/SM-J810F/001652180911/eng.html
