model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXS6DXC2,U(Android 14),2024-03-27,2024-03-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXU6DXA2,U(Android 14),2024-01-29,2023-12-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXS6CWL1,T(Android 13),2023-12-27,2023-12-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXS5CWJ2,T(Android 13),2023-10-30,2023-10-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXU4CWI3,T(Android 13),2023-10-03,2023-08-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXU3CWH2,T(Android 13),2023-09-13,2023-08-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXS3CWG6,T(Android 13),2023-07-31,2023-06-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXS2CWC3,T(Android 13),2023-04-06,2023-04-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXU1CWC1,T(Android 13),2023-03-30,2023-03-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXU1BWA9,T(Android 13),2023-02-07,2023-01-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXS1AWA1,S(Android 12),2023-01-17,2022-12-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,INS,025570230105,SM-M045F/INS, India,India,No-carrier,Asia,Southern Asia,M045FXXU1AVL5,S(Android 12),2023-01-04,2022-12-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025570230105/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXS6DXC2,U(Android 14),2024-03-27,2024-03-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXU6DXA2,U(Android 14),2024-02-22,2023-12-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXS6CWL1,T(Android 13),2023-12-27,2023-12-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXS5CWJ2,T(Android 13),2023-10-30,2023-10-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXU4CWI3,T(Android 13),2023-10-03,2023-08-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXU3CWH2,T(Android 13),2023-09-13,2023-08-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXS3CWG6,T(Android 13),2023-08-01,2023-06-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXS2CWC3,T(Android 13),2023-04-06,2023-04-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXU1CWC1,T(Android 13),2023-03-30,2023-03-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
SM-M045F,SLK,025573230106,SM-M045F/SLK, Sri Lanka,Sri Lanka,No-carrier,Asia,Southern Asia,M045FXXU1BWA9,T(Android 13),2023-02-14,2023-01-01,Galaxy M04 ,https://doc.samsungmobile.com/SM-M045F/025573230106/eng.html
