model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXSACWA1,Q(Android 10),2023-02-06,2022-12-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXS9CVG1,Q(Android 10),2022-07-15,2022-06-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXS8CVA1,Q(Android 10),2022-03-03,2022-01-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU7CUF2,Q(Android 10),2021-07-02,2021-06-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXS7CUD2,Q(Android 10),2021-06-03,2021-04-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU6CTL3,Q(Android 10),2020-12-29,2020-12-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXS5CTI2,Q(Android 10),2020-09-17,2020-09-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU5CTGC,Q(Android 10),2020-08-10,2020-07-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXS5BTG1,Pie(Android 9),2020-07-12,2020-07-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU4BTD1,Pie(Android 9),2020-04-24,2020-04-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU3BSL2,Pie(Android 9),2020-01-22,2020-01-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU2BSI1,Pie(Android 9),2019-10-24,2019-10-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXS2BSH3,Pie(Android 9),2019-08-23,2019-08-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
SM-M105Y,XTC,007615190703,SM-M105Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,M105YDXU1BSF4,Pie(Android 9),2019-07-02,2019-05-01,Galaxy M10 ,https://doc.samsungmobile.com/SM-M105Y/007615190703/eng.html
