model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS6DXE2,U(Android 14),2024-05-29,2024-05-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS5DXD6,U(Android 14),2024-05-09,2024-04-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS5DXB1,U(Android 14),2024-02-23,2024-02-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXU5DXA1,U(Android 14),2024-01-29,2023-12-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS5CWL1,T(Android 13),2023-12-27,2023-12-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS4CWJ1,T(Android 13),2023-11-02,2023-10-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS4CWH1,T(Android 13),2023-09-05,2023-07-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXU3CWE5,T(Android 13),2023-06-23,2023-05-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXU2CWB4,T(Android 13),2023-04-03,2023-02-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS2BWA2,T(Android 13),2023-02-28,2023-01-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXU1BVL3,T(Android 13),2022-12-30,2022-11-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXS1AVJ1,S(Android 12),2022-10-18,2022-10-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
SM-M135FU,INS,024449220905,SM-M135FU/INS, India,India,No-carrier,Asia,Southern Asia,M135FUXXU1AVH3,S(Android 12),2022-09-05,2022-08-01,Galaxy-M13 ALL LTE ,https://doc.samsungmobile.com/SM-M135FU/024449220905/eng.html
