model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M205FN,ATO,008669190822,SM-M205FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,M205FNEEU2BSI2,Pie(Android 9),2019-10-23,2019-08-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/008669190822/eng.html
SM-M205FN,ATO,008669190822,SM-M205FN/ATO, Austria (Open),Austria,Open,Europe,Western Europe,M205FNEEU1BSF4,Pie(Android 9),2019-08-22,2019-05-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/008669190822/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXS7CUB1,Q(Android 10),2021-05-28,2021-01-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXS6CTI4,Q(Android 10),2020-10-19,2020-10-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXU6CTH1,Q(Android 10),2020-09-03,2020-08-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXU3CTA3,Q(Android 10),2020-02-08,2020-01-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXU3BSK1,Pie(Android 9),2019-12-11,2019-11-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXU2BSI2,Pie(Android 9),2019-10-26,2019-08-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,AUT,007718190711,SM-M205FN/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,M205FNXXU1BSF4,Pie(Android 9),2019-07-11,2019-05-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007718190711/eng.html
SM-M205FN,CAU,007730190711,SM-M205FN/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,M205FNXXS9CVJ4,Q(Android 10),2022-10-18,2022-10-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007730190711/eng.html
SM-M205FN,CAU,007730190711,SM-M205FN/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,M205FNXXS8CVC4,Q(Android 10),2022-05-11,2022-03-01,Galaxy M20 ,https://doc.samsungmobile.com/SM-M205FN/007730190711/eng.html
