model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDS5CXE2,T(Android 13),2024-06-11,2024-06-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDS4CXA1,T(Android 13),2024-02-19,2024-02-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU4CWJ1,T(Android 13),2023-11-01,2023-08-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU4CWF1,T(Android 13),2023-06-30,2023-06-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDS3CWD1,T(Android 13),2023-05-22,2023-05-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU3CWB4,T(Android 13),2023-04-10,2023-02-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU2CWA3,T(Android 13),2023-02-03,2022-11-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU2BVH1,S(Android 12),2022-09-14,2022-08-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU1BVCC,S(Android 12),2022-04-28,2022-04-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDS1AUL1,R(Android 11),2022-01-11,2021-12-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU1AUI1,R(Android 11),2021-09-23,2021-09-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
SM-M215G,INS,019510210809,SM-M215G/INS, India,India,No-carrier,Asia,Southern Asia,M215GDDU1AUG2,R(Android 11),2021-08-09,2021-05-01,Galaxy M21 Prime Edition ,https://doc.samsungmobile.com/SM-M215G/019510210809/eng.html
