model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M236B,AFG,022299220330,SM-M236B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M236BXXU1AVC4,S(Android 12),2022-04-22,2022-03-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/022299220330/eng.html
SM-M236B,AFG,022299220330,SM-M236B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M236BXXU1AVC1,S(Android 12),2022-03-30,2022-02-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/022299220330/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU6EXE6,U(Android 14),2024-06-10,2024-05-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXS5DXC1,U(Android 14),2024-03-20,2024-03-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXS5DXA5,U(Android 14),2024-01-31,2023-12-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU5DWL1,U(Android 14),2023-12-22,2023-12-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXS5CWK7,T(Android 13),2023-12-14,2023-11-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXS4CWI5,T(Android 13),2023-09-26,2023-09-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU4CWF3,T(Android 13),2023-07-06,2023-06-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU3CWD1,T(Android 13),2023-05-05,2023-04-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU2CWC1,T(Android 13),2023-03-27,2023-02-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXS2BWB1,T(Android 13),2023-03-17,2023-02-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU1BWA5,T(Android 13),2023-01-30,2022-12-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU1BVK5,T(Android 13),2022-12-28,2022-11-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU1AVH1,S(Android 12),2022-10-14,2022-07-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
SM-M236B,ARO,023042220503,SM-M236B/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,M236BXXU1AVG1,S(Android 12),2022-07-18,2022-06-01,Galaxy M23 5G ,https://doc.samsungmobile.com/SM-M236B/023042220503/eng.html
