model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCS4CWE1,R(Android 11),2023-06-05,2023-03-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCS4CVL1,R(Android 11),2023-01-04,2022-10-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CVD1,R(Android 11),2022-05-18,2022-03-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CVC2,R(Android 11),2022-04-22,2022-02-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CVA2,R(Android 11),2022-02-25,2021-12-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CUJ1,R(Android 11),2021-10-29,2021-10-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CUI1,R(Android 11),2021-09-24,2021-09-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CUF1,R(Android 11),2021-06-22,2021-06-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CUD2,R(Android 11),2021-04-30,2021-03-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CUD1,R(Android 11),2021-04-20,2021-03-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4CUC6,R(Android 11),2021-04-02,2021-02-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCS4BUA1,Q(Android 10),2021-02-08,2021-02-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU4BTL1,Q(Android 10),2020-12-24,2020-11-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCS4BTI1,Q(Android 10),2020-09-18,2020-09-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU3BTG1,Q(Android 10),2020-08-13,2020-07-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU3BTF2,Q(Android 10),2020-06-22,2020-06-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU2BTD7,Q(Android 10),2020-05-11,2020-04-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU2ASL2,Pie(Android 9),2019-12-26,2019-11-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
SM-M3070,CHC,010241191207,SM-M3070/CHC, China (Open China),China,Open China,Asia,Eastern Asia,M3070ZCU1ASJ1,Pie(Android 9),2019-12-06,2019-09-01,Galaxy M30s ,https://doc.samsungmobile.com/SM-M3070/010241191207/eng.html
