model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M325FV,AFG,019286210712,SM-M325FV/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M325FVXXU1AUF3,R(Android 11),2021-07-12,2021-05-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019286210712/eng.html
SM-M325FV,ATO,019217210705,SM-M325FV/ATO, Austria (Open),Austria,Open,Europe,Western Europe,M325FVXXU1AUF3,R(Android 11),2021-07-05,2021-05-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019217210705/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXSADXE3,T(Android 13),2024-06-10,2024-05-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXS9DXA3,T(Android 13),2024-02-29,2024-02-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU8DWJ1,T(Android 13),2023-10-17,2023-08-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU7DWE3,T(Android 13),2023-06-23,2023-06-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXS6DWD3,T(Android 13),2023-05-17,2023-04-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU5DWB8,T(Android 13),2023-04-20,2023-02-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU5DWB8,T(Android 13),2023-03-23,2023-02-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU4CWA6,T(Android 13),2023-02-14,2022-12-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU4CVK3,T(Android 13),2022-12-07,2022-10-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU4BVI2,S(Android 12),2022-10-06,2022-09-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU4BVG6,S(Android 12),2022-08-18,2022-07-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU4BVG2,S(Android 12),2022-07-27,2022-07-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
SM-M325FV,BRI,019265210708,SM-M325FV/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M325FVXXU4BVF1,S(Android 12),2022-06-24,2022-04-01,Galaxy M32 ,https://doc.samsungmobile.com/SM-M325FV/019265210708/eng.html
