model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS8EXE2,U(Android 14),2024-06-10,2024-05-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU7EXE1,U(Android 14),2024-05-29,2024-04-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS7DXD1,U(Android 14),2024-05-02,2024-04-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS6DXB1,U(Android 14),2024-02-21,2024-02-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS6DXA1,U(Android 14),2024-01-31,2023-12-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS6DWL2,U(Android 14),2024-01-08,2023-12-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU5DWK6,U(Android 14),2023-12-12,2023-11-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS5CWK2,T(Android 13),2023-11-24,2023-11-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU5CWI3,T(Android 13),2023-10-09,2023-08-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU5CWI1,T(Android 13),2023-09-21,2023-08-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU5CWH1,T(Android 13),2023-08-17,2023-06-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS5CWG5,T(Android 13),2023-08-01,2023-06-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU4CWD3,T(Android 13),2023-04-26,2023-03-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXS4BWB1,T(Android 13),2023-02-14,2023-01-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU3BVL6,T(Android 13),2023-01-02,2022-11-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU3BVK4,T(Android 13),2022-12-13,2022-10-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU3BVK4,T(Android 13),2022-11-29,2022-10-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU3AVI7,S(Android 12),2022-10-19,2022-08-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU3AVI7,S(Android 12),2022-10-04,2022-08-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU3AVH1,S(Android 12),2022-08-16,2022-08-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU2AVG1,S(Android 12),2022-07-18,2022-07-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU2AVF3,S(Android 12),2022-06-16,2022-06-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU2AVD5,S(Android 12),2022-05-10,2022-05-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU1AVC5,S(Android 12),2022-04-28,2022-03-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
SM-M336BU,INS,022218220329,SM-M336BU/INS, India,India,No-carrier,Asia,Southern Asia,M336BUXXU1AVC5,S(Android 12),2022-03-29,2022-03-01,Galaxy M33 5G ,https://doc.samsungmobile.com/SM-M336BU/022218220329/eng.html
