model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M346B2,BRI,028010231004,SM-M346B2/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M346B2ZHU4CXE1,U(Android 14),2024-06-11,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028010231004/eng.html
SM-M346B2,BRI,028010231004,SM-M346B2/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M346B2ZHS3BXB1,U(Android 14),2024-03-04,2024-02-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028010231004/eng.html
SM-M346B2,BRI,028010231004,SM-M346B2/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M346B2ZHS2BXA2,U(Android 14),2024-02-08,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028010231004/eng.html
SM-M346B2,BRI,028010231004,SM-M346B2/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M346B2ZHU2BWL1,U(Android 14),2023-12-21,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028010231004/eng.html
SM-M346B2,BRI,028010231004,SM-M346B2/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,M346B2ZHS2AWI6,T(Android 13),2023-10-04,2023-09-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028010231004/eng.html
SM-M346B2,EGY,028005230930,SM-M346B2/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,M346B2XUU4CXE1,U(Android 14),2024-06-11,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028005230930/eng.html
SM-M346B2,EGY,028005230930,SM-M346B2/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,M346B2XUS3BXB1,U(Android 14),2024-02-29,2024-02-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028005230930/eng.html
SM-M346B2,EGY,028005230930,SM-M346B2/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,M346B2XUS2BXA2,U(Android 14),2024-02-07,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028005230930/eng.html
SM-M346B2,EGY,028005230930,SM-M346B2/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,M346B2XUU2BWL1,U(Android 14),2023-12-27,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028005230930/eng.html
SM-M346B2,EGY,028005230930,SM-M346B2/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,M346B2XUS2AWI6,T(Android 13),2023-09-29,2023-09-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028005230930/eng.html
SM-M346B2,KSA,028007230930,SM-M346B2/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,M346B2XUU4CXE1,U(Android 14),2024-06-06,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028007230930/eng.html
SM-M346B2,KSA,028007230930,SM-M346B2/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,M346B2XUS3BXB1,U(Android 14),2024-02-29,2024-02-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028007230930/eng.html
SM-M346B2,KSA,028007230930,SM-M346B2/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,M346B2XUS2BXA2,U(Android 14),2024-02-07,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028007230930/eng.html
SM-M346B2,KSA,028007230930,SM-M346B2/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,M346B2XUU2BWL1,U(Android 14),2023-12-20,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028007230930/eng.html
SM-M346B2,KSA,028007230930,SM-M346B2/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,M346B2XUS2AWI6,T(Android 13),2023-09-29,2023-09-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028007230930/eng.html
SM-M346B2,MID,028002230930,SM-M346B2/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,M346B2XUU4CXE1,U(Android 14),2024-06-11,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028002230930/eng.html
SM-M346B2,MID,028002230930,SM-M346B2/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,M346B2XUS3BXB1,U(Android 14),2024-02-29,2024-02-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028002230930/eng.html
SM-M346B2,MID,028002230930,SM-M346B2/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,M346B2XUS2BXA2,U(Android 14),2024-02-07,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028002230930/eng.html
SM-M346B2,MID,028002230930,SM-M346B2/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,M346B2XUU2BWL1,U(Android 14),2023-12-27,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028002230930/eng.html
SM-M346B2,MID,028002230930,SM-M346B2/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,M346B2XUS2AWI6,T(Android 13),2023-09-29,2023-09-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028002230930/eng.html
SM-M346B2,MWD,028000230930,SM-M346B2/MWD, Morocco (MWD),Morocco,MWD,Africa,Northern Africa,M346B2XUU4CXE1,U(Android 14),2024-06-11,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028000230930/eng.html
SM-M346B2,MWD,028000230930,SM-M346B2/MWD, Morocco (MWD),Morocco,MWD,Africa,Northern Africa,M346B2XUS3BXB2,U(Android 14),2024-02-29,2024-02-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028000230930/eng.html
SM-M346B2,MWD,028000230930,SM-M346B2/MWD, Morocco (MWD),Morocco,MWD,Africa,Northern Africa,M346B2XUU2BXA3,U(Android 14),2024-02-07,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028000230930/eng.html
SM-M346B2,MWD,028000230930,SM-M346B2/MWD, Morocco (MWD),Morocco,MWD,Africa,Northern Africa,M346B2XUS2AWI6,T(Android 13),2023-09-29,2023-09-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028000230930/eng.html
SM-M346B2,TGY,028009231004,SM-M346B2/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,M346B2ZHU4CXE1,U(Android 14),2024-06-11,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028009231004/eng.html
SM-M346B2,TGY,028009231004,SM-M346B2/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,M346B2ZHS3BXB1,U(Android 14),2024-03-04,2024-02-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028009231004/eng.html
SM-M346B2,TGY,028009231004,SM-M346B2/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,M346B2ZHS2BXA2,U(Android 14),2024-02-08,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028009231004/eng.html
SM-M346B2,TGY,028009231004,SM-M346B2/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,M346B2ZHU2BWL1,U(Android 14),2023-12-21,2023-11-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028009231004/eng.html
SM-M346B2,TGY,028009231004,SM-M346B2/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,M346B2ZHS2AWI6,T(Android 13),2023-10-04,2023-09-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/028009231004/eng.html
SM-M346B2,TUR,027999230930,SM-M346B2/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,M346B2XUU4CXE1,U(Android 14),2024-06-11,2024-05-01,Galaxy M34 5G,https://doc.samsungmobile.com/SM-M346B2/027999230930/eng.html
