model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXS5CXE2,T(Android 13),2024-06-10,2024-05-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU4CXD1,T(Android 13),2024-05-20,2024-02-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU3CWH4,T(Android 13),2023-09-20,2023-08-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU3CWF3,T(Android 13),2023-07-12,2023-06-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU2CWD1,T(Android 13),2023-06-06,2023-05-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU2CWB3,T(Android 13),2023-04-20,2023-02-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXS2CWA2,T(Android 13),2023-02-13,2023-01-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU1CVJ7,T(Android 13),2022-12-02,2022-11-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU1BVH6,S(Android 12),2022-10-04,2022-08-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
SM-M526BR,AFG,020752211001,SM-M526BR/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,M526BRXXU1BVG4,S(Android 12),2022-08-05,2022-06-01,Galaxy M52 5G ,https://doc.samsungmobile.com/SM-M526BR/020752211001/eng.html
